,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,65,6,3,1,3,0,1,1,3,2,2,2,3,5,1
Mercedes-Benz,3,49,5,1,3,2,0,1,3,4,1,1,3,5,2
Ford,0,1,69,2,2,1,2,4,3,3,2,2,1,1,7
Hyundai,0,0,1,66,1,0,0,0,1,0,0,0,0,0,1
Kia,0,0,0,9,62,0,0,0,0,0,0,0,0,0,0
Ram,0,0,0,0,0,58,0,1,0,0,0,0,0,0,0
Subaru,0,0,0,0,1,0,74,0,0,0,0,0,0,0,1
Jeep,0,0,0,0,0,0,0,70,0,1,0,0,0,0,0
Toyota,0,1,2,2,2,1,6,1,65,1,4,1,11,3,1
Chevrolet,0,0,1,1,1,0,0,1,2,50,0,0,0,0,30
Honda,0,0,0,3,1,0,1,0,0,0,65,1,2,0,1
Audi,0,2,0,1,1,1,0,1,1,2,2,61,4,1,1
Lexus,0,1,0,2,0,0,0,0,2,0,0,0,65,0,1
Tesla,2,5,4,0,6,2,1,0,1,4,1,2,0,73,2
GMC,0,0,1,0,0,0,0,1,0,1,0,0,0,0,40
