,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,48,2,1,1,0,0,3,1,1,0,1,3,4,1,1
Mercedes-Benz,4,39,0,2,2,0,2,1,0,0,2,1,6,1,0
Ford,1,1,54,1,1,0,1,2,0,0,3,3,2,2,3
Hyundai,0,0,0,48,1,0,0,0,0,1,0,0,2,0,0
Kia,0,1,0,8,51,0,1,0,0,0,0,0,0,0,1
Ram,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
Subaru,0,0,1,0,0,0,53,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0
Toyota,1,1,1,2,2,1,3,1,51,2,1,1,7,1,4
Chevrolet,0,0,1,1,0,1,0,1,0,37,0,3,0,0,25
Honda,0,1,0,1,0,1,0,0,1,0,47,1,2,3,0
Audi,2,1,0,1,1,0,0,1,2,0,1,44,3,1,2
Lexus,0,1,0,1,0,0,0,0,3,0,1,1,49,1,2
Tesla,2,5,5,2,2,1,0,0,1,1,1,0,0,55,9
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
