StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,budL,coorsL,bud,cor,guin,hei,stel,blu,pbr,mil,sam,dos,mic,rol,red,mlite,pil,snb,id,PROLIFIC_PID
4/20/21 19:43,4/20/21 19:45,0,38.122.41.62,100,76,1,4/20/21 19:45,R_Urza2K5av1OxS3D,,,,,20.6242981,-87.07700348,anonymous,EN,,,,,Stella Artois,,Guiness,Rolling Rock,Rolling Rock,Red Stripe,,,Guiness,Sierra Nevada,Miller High Life,Corona,,Rolling Rock,5ea245add2bc1c15dfed3c2d,5ea245add2bc1c15dfed3c2d
4/20/21 19:58,4/20/21 20:02,0,46.204.23.83,100,233,1,4/20/21 20:02,R_3qL2RywaZT6Poit,,,,,50.25259399,19.00950623,anonymous,EN,Budweiser,Miller light,,Desperados,Dark beer,Typical beer,,,American style beer,Very strong beer ,Guiness,,Strong beer,,,Not very strong beer,,,60796a1f31ad11413021c980,60796a1f31ad11413021c980
4/20/21 20:01,4/20/21 20:02,0,95.95.181.155,100,99,1,4/20/21 20:02,R_24HF6IbsAx2493P,,,,,38.87010193,-9.072692871,anonymous,EN,,Rolling Rock,Heineken ,Sam Adams,,Budweiser ,,,Miller Lite,,Corona Extra,Michelob Ultra,Dos Equis,,Rolling Rock,Pabst Blue Ribbon,,,5f42bd83013b2c0e0ec51abf,5f42bd83013b2c0e0ec51abf
4/20/21 20:01,4/20/21 20:04,0,161.230.144.39,100,156,1,4/20/21 20:04,R_3NHRfZ47QpIPxXe,,,,,41.23629761,-8.388595581,anonymous,EN,,,,,,guiness,michelob ultra,molson dry,miller lite,,,kilkenny,stella artois,molson stock alle,waterloo dark,pabst blue ribbon,budweiser,,5e9da6db8c05470a3101513d,5e9da6db8c05470a3101513d
4/20/21 20:07,4/20/21 20:10,0,187.190.15.0,100,169,1,4/20/21 20:10,R_1DHlEn5PkLCtEDh,,,,,19.4105072,-99.13259888,anonymous,EN,,,Coors,,Haineken,,Dos Equis,,Corona,,Victoria,Heineken,,,quilmes,Coors,sapporo,Modelo,603718a48f4799aa8a3a5517,603718a48f4799aa8a3a5517
4/20/21 20:08,4/20/21 20:11,0,187.188.39.226,100,159,1,4/20/21 20:11,R_Zfp51dL1MDDocZH,,,,,32.40409851,-116.8198013,anonymous,EN,Corona,Budweiser,Tecate,,,,Red Stripe,Bohemia,Indio,Tecate Light,Heiniken,,,,Stella Artois,,,Tecate Light,5f13cc6c4d733b3ffc5c7a30,5f13cc6c4d733b3ffc5c7a30
4/20/21 20:08,4/20/21 20:12,0,200.104.182.136,100,209,1,4/20/21 20:12,R_3Eg3HsWGpVD4tEa,,,,,-34.98260498,-71.23439789,anonymous,EN,Coors Light,Bud Light,Heineken,Pabst Blue Ribbon,,Budweiser,,Sam Adams,Corona Extra ,,Blue Moon,,,Red Stripe,Rolling Rock,,,,6062b332445d0ff1a2976e47,6062b332445d0ff1a2976e47
4/20/21 20:11,4/20/21 20:13,0,24.128.160.52,100,89,1,4/20/21 20:13,R_UXbImfCHpugPqj7,,,,,42.76860046,-86.11699677,anonymous,EN,,Budlight with lime,Coors,Budlight.,Cusquena negra.,,Blue moon.,,Miller light,Budlight,,,I have no idea.,,,Coors lite,,Pabst blue ribbon,5c049e9bad9a9700011b877b,5c049e9bad9a9700011b877b
4/20/21 20:12,4/20/21 20:13,0,151.19.208.255,100,49,1,4/20/21 20:13,R_03bSRaYdLz4ah9L,,,,,43.14790344,12.10969543,anonymous,EN,beer,,beer,,beer,,stars,,ribbon,school,person,heart,,,,desktop,pencil,,6009c27b9e9b700266fd52b5,6009c27b9e9b700266fd52b5
4/20/21 20:09,4/20/21 20:13,0,187.189.198.241,100,268,1,4/20/21 20:13,R_1f8gZFP0HkApbR5,,,,,19.43260193,-99.1332016,anonymous,EN,,,montejo,heineken,victoria,corona,miller lite,,tecate,ocean beer,,,,pacifico,,budweiser,bohemia,,5c1ac41a5b2ab700015b0a20,5c1ac41a5b2ab700015b0a20
4/20/21 20:10,4/20/21 20:14,0,93.150.167.79,100,212,1,4/20/21 20:14,R_UnjGZ5uGT9il2ud,,,,,45.35690308,9.326705933,anonymous,EN,Bud that makes you dead inside a little,"Peroni, but worse",,"To Corona, pretty much non sweetened Sprite ",,,Dreher,"I don't know of Blue Moon, sorry.",The water you wash your glass of beer with.,A spicy white girl's Corona,,,,I don't know of Rolling Rock but I get the reference in the name,,Bud Lite: not good,"Other pils. I struggle to think of a similar beer, but Urquell is pretty good",,60290c574980dd7f8e378b84,60290c574980dd7f8e378b84
4/20/21 20:13,4/20/21 20:14,0,189.169.209.210,100,83,1,4/20/21 20:14,R_1mwMJhVrF1hpokz,,,,,20.74740601,-103.4654999,anonymous,EN,Light ,Light ,Light ,Sol ,Weather,,Light ,,,Sweet ,,,Super light ,Idk ,Idk ,,,,5d58b26b5f36a80018f9975f,5d58b26b5f36a80018f9975f
4/20/21 20:13,4/20/21 20:14,0,85.244.207.182,100,77,1,4/20/21 20:14,R_2S0tldqEvFBh2JL,,,,,38.63000488,-9.112304688,anonymous,EN,,Budweiser,Coors Light,,Guinness,Guinness,i dont know this brand,,i dont know this brand,,i dont know this brand,i dont know this brand,i dont know this brand,,i dont know this brand,,,,5e9dd814910d621387801b01,5e9dd814910d621387801b01
4/20/21 20:13,4/20/21 20:15,0,193.136.62.5,100,78,1,4/20/21 20:15,R_vjMn5wqILuhn0JP,,,,,41.13890076,-8.617706299,anonymous,EN,,special light,i dont know,,,,,perfume,i dont know,life style,actor,i dont know,,music,girl,i dont know,,,5def817758776a616991d485,5def817758776a616991d485
4/20/21 20:13,4/20/21 20:15,0,189.222.144.122,100,85,1,4/20/21 20:15,R_3luDf8QfVkPV85R,,,,,31.81559753,-116.5760956,anonymous,EN,Ugly,Bad Beer,,,,Beer,,Beer,I don´t know,Paradise,I don´t know,Fresh beer,,Music,,,,Brew,5f408659bb98e01ceb3d8592,5f408659bb98e01ceb3d8592
4/20/21 20:13,4/20/21 20:15,0,79.97.79.128,100,127,1,4/20/21 20:15,R_1HpdWaAd7G4x6zL,,,,,51.897995,-8.488998413,anonymous,EN,Heineken Light,Hop House,,,Beamish,Karpackie,,Tyskie,,,Corona,Budweiser,Lech,,Carlsberg,Prazsky,,,604785ad942b98262c193c2f,604785ad942b98262c193c2f
4/20/21 20:13,4/20/21 20:15,0,189.237.58.169,100,96,1,4/20/21 20:15,R_3kM2OFtgGe0ygnk,,,,,28.77940369,-106.0782013,anonymous,EN,Coors Light ,,Budlight ,Sol,Bohemia Obscura,,,Samuel Sam,Bohemia,,,Tecate,Amstel ,heineken ,,Amstel ,,,604d1a5e006c400c24164173,604d1a5e006c400c24164173
4/20/21 20:13,4/20/21 20:15,0,200.68.140.72,100,166,1,4/20/21 20:15,R_Q5hJzNsbz8ZfnqN,,,,,19.43710327,-99.01110077,anonymous,EN,,Carta blanca,Victoria,Coors light,,,Dos equis ambar,Kloster,Cucapá,,Bad beer,,ultra,Pacifico,,Bud light,,,5f2faeafe08009000adad51e,5f2faeafe08009000adad51e
4/20/21 20:11,4/20/21 20:15,0,77.95.53.77,100,250,1,4/20/21 20:15,R_3RmTx7AbdZbBLCU,,,,,52.21270752,20.79589844,anonymous,EN,Harnaś,Zduńskie,,,,,,Żywiec,Żubr,Perła ,,,Okocim,,Zduńskie,Lech,Warka,BE,601407ceb35fc10bc2bd436b,601407ceb35fc10bc2bd436b
4/20/21 20:13,4/20/21 20:15,0,188.37.10.102,100,130,1,4/20/21 20:15,R_2CJ3HSOwwVHxmhR,,,,,38.72259521,-9.139892578,anonymous,EN,any other beer,any other beer,any other beer,,Heineken,Guinness ,any other beer,,any other beer,,Dont know this one,,,any other beer,,,any other beer,,5fc7aa4fd06520000955403f,5fc7aa4fd06520000955403f
4/20/21 20:13,4/20/21 20:15,0,94.11.123.208,100,130,1,4/20/21 20:15,R_3IXYD8WIWNbAU7R,,,,,52.61810303,-1.180404663,anonymous,EN,red,light yellow,,,purple ,red,,,,orange,yellow,snow white,,green,,,blue,yellowish,604e1a9533738c74ad5879d2,604e1a9533738c74ad5879d2
4/20/21 20:13,4/20/21 20:16,0,149.90.12.88,100,157,1,4/20/21 20:16,R_3gz9SIOZqwvKrap,,,,,41.13890076,-8.617706299,anonymous,EN,Budweiser,,Bud Light,,,Rolling Rock,Sam Adams,,,Sierra Nevada Brewing,Stella Artois,,,Heineken,Pilsner Urquell,,Red Stripe,Miller High Life,60195de5abe00c026804d726,60195de5abe00c026804d726
4/20/21 20:14,4/20/21 20:16,0,188.147.103.14,100,148,1,4/20/21 20:16,R_2WI7VaXsGEHK7qA,,,,,54.47290039,18.52209473,anonymous,EN,,,Corona Extra,Budweiser,Michelob Ultra,Rolling Rock,,Miller Lite,Sam Adams,,Pabst Blue Ribbon,,Guinness,Heineken,,Blue Moon,,,5f4805e425bc3c146107ec2c,5f4805e425bc3c146107ec2c
4/20/21 20:14,4/20/21 20:16,0,31.0.85.216,100,97,1,4/20/21 20:16,R_vYL49lAfU5ttPbP,,,,,52.23939514,21.03619385,anonymous,EN,,,I dont know,I dont know,,,I dont know,I dont know,I dont know,,I dont know,I dont know,I dont know,,,I dont know,,I dont know,605a4838b40613218220a77a,605a4838b40613218220a77a
4/20/21 20:14,4/20/21 20:16,0,187.189.58.9,100,133,1,4/20/21 20:16,R_ZlfH3q45mnEoGwF,,,,,29.00039673,-106.2324982,anonymous,EN,,,coors,,,corona ,ultra,,,corona,soft drinks,,amstel,soda,bud light,,hipsters,stella artois,5f2f8d1f71440737f85aeed8,5f2f8d1f71440737f85aeed8
4/20/21 20:09,4/20/21 20:17,0,37.201.116.119,100,450,1,4/20/21 20:17,R_r6cdLN5EAhJ0eTT,,,,,50.13279724,8.904602051,anonymous,EN,Budweiser,Keystone,,Landshark,Beamish Irish Stout,,,Shock Top,,Saison Rue,,Ska Brewing,Natural Light,,Carlsberg,,Sam Adams Nobile Pils,,5b18cca868a5ed0001734bfe,5b18cca868a5ed0001734bfe
4/20/21 20:13,4/20/21 20:17,0,5.172.239.219,100,207,1,4/20/21 20:17,R_2zbGo0Wwj9Y2sH9,,,,,52.23939514,21.03619385,anonymous,EN,Captain Jack,,Kustosz,,,,Tyskie,Lech,,Perła ,Żubr,,Bavaria,,Harnaś,Kuflowe Mocne,Żywiec,,6041499ba066050e18a7934d,6041499ba066050e18a7934d
4/20/21 20:14,4/20/21 20:17,0,85.244.17.193,100,165,1,4/20/21 20:17,R_25QlQt7p9A1sGAp,,,,,38.72259521,-9.139892578,anonymous,EN,,Sierra Nevada Brewing,,,,Blue Moon,Red Stripe,Heineken,,Rolling Rock,,,Pilsner Urquell,Miller High Life,Stella Artois,,Red Stripe,Pilsner Urquell,6078c09f59a6578a3940abc1,6078c09f59a6578a3940abc1
4/20/21 20:16,4/20/21 20:17,0,94.132.218.23,100,53,1,4/20/21 20:17,R_BzwH6Y1v6QJLEkx,,,,,41.19500732,-8.510299683,anonymous,EN,beer,beer,,,,,beer,beer,beer,,beer,,,,beer,beer,beer,beer,6076fc1f88b53408111522f1,6076fc1f88b53408111522f1
4/20/21 20:13,4/20/21 20:17,0,89.153.163.222,100,254,1,4/20/21 20:17,R_27mtpu7iiwQWNEW,,,,,41.14590454,-8.616897583,anonymous,EN,,,,beer,beer,Beer,model,Earth,I don't know,I don't know,actor,,,,Amsterdam,I don't know,,,5e84ab6c1c387d0424a1b662,5e84ab6c1c387d0424a1b662
4/20/21 20:13,4/20/21 20:17,0,186.20.203.134,100,261,1,4/20/21 20:17,R_1Ltk1WBjJGqyKB1,,,,,-33.45129395,-70.66529846,anonymous,EN,,,Corona Extra,Budweiser ,,,,,Miller Lite,Red Stripe,Pilsner Urquell,,Sierra Nevada Brewing,,Miller High Life,Pabst Blue Ribbon,Pabst Blue Ribbon,Michelob Ultra,5fc89209c5116c1deec89f9b,5fc89209c5116c1deec89f9b
