Unnamed: 0,Blue Moon is similar to,Bud Light is similar to,Budweiser is similar to,Busch is similar to,Coors is similar to,Coors Light is similar to,Corona is similar to,Corona Extra is similar to,Goose Island is similar to,Hefeweizen is similar to,Heineken is similar to,Hopworks is similar to,Kirin is similar to,Kolsch is similar to,Lagunitas Brewing is similar to,Miller Lite is similar to,MillerCoors is similar to,New Belgium Brewing is similar to,Pabst is similar to,Pabst Blue Ribbon is similar to,Pacific Northwest is similar to,Pilsner Urquell is similar to,Samuel Adams is similar to,Sierra Nevada is similar to,Sierra Nevada Brewing is similar to,Sierra Nevada Pale Ale is similar to,Stella Artois is similar to,Stone Brewing is similar to,Golden Road is similar to,Kona is similar to
Blue Moon,46,1,3,0,5,5,0,0,0,4,1,0,0,2,8,1,4,18,11,5,0,0,0,2,1,4,0,4,0,0
Bud Light,0,712,212,9,51,35,0,1,0,2,30,1,0,1,1,11,45,5,67,49,0,1,0,2,1,3,0,0,0,0
Budweiser,0,18,698,28,49,13,0,0,0,10,88,1,0,6,6,5,58,10,154,91,0,4,0,2,3,0,0,2,0,0
Busch,0,2,18,13,41,2,0,0,0,3,47,2,0,0,13,0,68,6,53,5,0,1,0,1,8,0,0,7,0,0
Coors,0,2,16,7,162,76,0,0,0,0,25,0,0,0,7,4,217,12,51,14,0,1,0,3,12,0,0,9,0,0
Coors Light,0,1,10,5,122,72,0,0,0,0,11,0,0,0,5,4,139,6,28,10,0,1,0,2,9,0,0,9,0,0
Corona,1,3,9,5,12,7,124,689,0,1,21,0,0,0,2,0,7,0,30,5,0,0,0,1,1,1,0,0,0,0
Corona Extra,0,0,0,0,1,0,0,684,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0
Goose Island,0,0,1,3,1,1,0,0,124,0,2,2,0,1,1,0,3,7,6,1,0,0,0,1,2,3,0,1,0,0
Hefeweizen,0,3,1,1,0,1,0,0,0,305,0,0,0,1,0,1,0,3,3,0,0,2,0,0,0,1,0,3,0,0
Heineken,0,1,6,6,1,3,0,0,0,1,78,0,0,2,0,1,1,3,11,7,0,0,0,1,1,0,0,0,0,0
Hopworks,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0
Kirin,0,0,0,0,1,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kolsch,0,0,1,1,1,1,0,0,0,2,0,0,0,301,2,1,0,3,1,1,0,1,0,0,0,1,0,3,0,0
Lagunitas Brewing,0,0,0,0,0,1,0,0,0,1,1,0,0,0,654,0,1,5,7,0,0,1,0,1,2,1,0,3,0,0
Miller Lite,0,3,11,3,16,5,0,0,0,2,16,0,0,1,1,7,33,2,15,5,0,1,0,0,1,1,0,0,0,0
MillerCoors,0,7,18,7,50,13,0,1,0,1,19,0,0,0,4,1,187,0,22,5,0,0,0,2,1,1,0,2,0,0
New Belgium Brewing,0,0,1,0,2,0,0,0,0,0,1,0,0,1,1,0,0,41,2,0,0,0,0,0,3,1,0,4,0,0
Pabst,0,0,2,1,14,6,0,0,0,0,6,0,0,1,4,0,5,2,514,280,0,0,0,0,3,1,0,5,0,0
Pabst Blue Ribbon,0,0,4,1,3,3,0,0,0,0,4,1,0,0,1,0,2,1,85,268,0,0,0,0,1,1,0,4,0,0
Pacific Northwest,0,0,2,1,2,1,0,0,6,0,0,0,0,1,18,0,2,0,3,0,292,0,0,11,21,14,0,2,1,27
Pilsner Urquell,0,0,0,1,5,5,0,0,0,1,3,0,0,2,2,0,1,0,1,0,0,682,0,0,1,1,0,0,0,0
Samuel Adams,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,0,124,0,2,1,0,3,0,0
Sierra Nevada,0,0,7,1,6,2,0,0,1,4,5,0,0,5,15,2,6,29,20,6,1,2,0,568,693,689,0,13,0,1
Sierra Nevada Brewing,0,0,3,0,1,1,0,0,0,2,3,0,0,1,2,0,2,5,3,1,0,1,0,33,541,75,0,3,0,0
Sierra Nevada Pale Ale,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,1,3,3,1,0,1,0,20,72,669,0,1,0,0
Stella Artois,0,1,7,3,13,0,0,0,0,1,24,1,0,0,1,0,10,1,24,4,0,0,0,0,0,0,92,0,0,0
Stone Brewing,20,0,0,0,1,1,4,0,4,2,1,0,6,1,17,0,2,18,8,3,1,0,2,2,10,1,2,39,4,2
Golden Road,0,0,0,0,2,0,0,0,1,0,0,0,0,1,6,0,2,2,0,0,0,1,0,1,9,3,0,3,28,0
Kona,0,0,0,0,1,1,0,1,3,0,1,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,1,0,483
