Brands,Blue Moon is similar to,Bud Light is similar to,Budweiser is similar to,Busch is similar to,Coors is similar to,Coors Light is similar to,Corona is similar to,Corona Extra is similar to,Goose Island is similar to,Hefeweizen is similar to,Heineken is similar to,Hopworks is similar to,Kirin is similar to,Kolsch is similar to,Lagunitas Brewing is similar to,Miller Lite is similar to,MillerCoors is similar to,New Belgium Brewing is similar to,Pabst is similar to,Pabst Blue Ribbon is similar to,Pacific Northwest is similar to,Pilsner Urquell is similar to,Samuel Adams is similar to,Sierra Nevada is similar to,Sierra Nevada Brewing is similar to,Sierra Nevada Pale Ale is similar to,Stella Artois is similar to,Stone Brewing is similar to,Golden Road is similar to,Kona is similar to
Blue Moon,37,3,3,0,7,0,0,0,0,0,0,0,0,1,5,1,4,10,10,2,0,0,0,1,5,1,0,3,0,0
Bud Light,0,722,205,5,61,36,0,0,0,0,19,0,0,2,1,11,50,2,65,53,0,1,0,0,0,0,0,7,0,0
Budweiser,0,18,701,28,67,15,0,0,0,8,80,0,0,4,6,2,68,11,134,86,0,4,0,1,2,2,0,7,0,0
Busch,0,4,31,23,36,10,0,0,0,2,28,0,0,2,13,0,77,10,63,7,0,0,0,2,3,0,0,2,0,0
Coors,0,6,20,6,151,86,0,0,0,1,24,0,0,0,14,0,227,13,54,14,0,0,0,6,13,1,0,13,0,0
Coors Light,0,4,11,4,104,82,0,0,0,1,15,0,0,0,9,0,151,5,30,13,0,0,0,5,11,1,0,8,0,0
Corona,0,5,9,1,22,4,130,659,0,0,21,0,0,1,2,1,16,1,28,6,0,0,0,1,1,0,0,0,0,0
Corona Extra,0,1,0,0,5,0,1,652,0,0,3,0,0,0,1,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0
Goose Island,0,0,2,1,4,2,0,0,129,0,1,1,0,2,2,2,3,11,7,1,0,1,0,0,1,0,0,3,0,0
Hefeweizen,0,0,2,2,1,1,0,0,0,273,2,0,0,5,0,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0
Heineken,0,0,4,8,4,0,0,0,0,4,79,0,0,1,1,0,6,0,13,0,0,1,0,2,0,0,0,0,0,0
Hopworks,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,1,1,0,0,1,0,0
Kirin,0,0,1,1,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Kolsch,0,0,0,0,1,1,0,0,0,5,1,0,0,265,0,1,0,0,1,2,0,1,0,0,1,0,0,3,0,0
Lagunitas Brewing,0,0,0,0,1,1,0,0,0,0,2,0,0,1,656,0,2,5,5,2,0,1,0,0,2,3,0,1,0,0
Miller Lite,0,4,17,8,16,14,0,0,0,0,8,0,0,0,0,10,37,3,7,9,0,1,0,0,0,0,0,2,0,0
MillerCoors,0,8,27,20,52,11,0,0,0,2,23,0,0,0,2,0,188,2,23,3,0,0,0,3,0,0,0,3,0,0
New Belgium Brewing,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,2,32,2,1,0,0,0,0,0,0,0,3,0,0
Pabst,0,0,2,1,7,13,0,0,0,0,7,0,0,0,1,1,2,2,559,275,0,0,0,0,1,0,0,3,0,0
Pabst Blue Ribbon,0,0,3,0,1,9,0,0,0,0,6,0,0,0,2,1,1,0,92,260,0,0,0,0,0,0,0,1,0,0
Pacific Northwest,0,1,1,0,1,0,0,0,7,1,0,0,1,0,7,0,0,3,3,0,267,1,1,12,22,14,0,2,0,36
Pilsner Urquell,0,0,0,0,1,0,0,0,0,5,2,0,0,5,1,0,0,2,1,1,0,672,0,0,0,2,0,3,0,0
Samuel Adams,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,3,1,2,0,0,1,141,1,0,0,0,2,0,0
Sierra Nevada,0,2,2,7,7,5,0,0,2,4,2,0,0,2,20,1,9,33,16,4,1,2,0,580,702,682,0,10,0,0
Sierra Nevada Brewing,0,0,0,2,2,0,0,0,0,0,0,0,0,0,6,0,3,11,3,0,0,1,0,41,570,70,0,5,0,0
Sierra Nevada Pale Ale,0,1,0,1,1,0,0,0,0,2,1,0,0,0,2,0,2,4,1,0,0,0,0,10,68,671,0,1,0,0
Stella Artois,0,0,10,0,15,5,0,0,0,0,23,0,0,0,1,0,6,2,19,6,0,0,0,0,0,1,100,1,0,0
Stone Brewing,25,0,3,2,3,4,4,0,3,4,1,0,4,0,27,0,2,19,5,4,0,0,5,4,4,0,2,32,4,4
Golden Road,0,0,0,1,4,0,0,0,0,1,0,0,0,0,5,0,0,6,1,0,0,0,0,0,8,4,0,5,21,0
Kona,0,0,1,0,0,0,1,0,6,0,0,1,0,0,0,1,0,1,1,2,0,0,0,3,1,2,0,3,0,458
