,Bud Light is similar to,Coors Light is similar to,Budweiser is similar to,Corona Extra is similar to,Heineken is similar to,Stella Artois is similar to,Blue Moon is similar to,Pabst Blue Ribbon is similar to,Samuel Adams is similar to,Miller Lite is similar to,Pilsner Urquell is similar to,Sierra Nevada Brewing is similar to
Bud Light,6384,292,1879,1,202,0,0,454,0,61,8,5
Coors Light,27,687,192,0,217,0,0,101,0,15,5,75
Budweiser,6386,380,6406,4,887,0,1,976,1,81,45,24
Corona Extra,46,44,87,6074,156,1,17,59,0,7,0,5
Guinness,9,40,50,0,398,0,1,49,1,7,19,8
Heineken,3,8,54,1,671,0,0,20,1,1,4,3
Stella Artois,7,21,74,0,206,889,0,42,0,1,1,2
Blue Moon,28,34,30,0,22,0,342,33,0,14,1,22
Pabst Blue Ribbon,8,41,26,0,38,0,0,2294,0,3,1,6
Miller High Life,0,0,4,0,1,0,0,0,0,0,0,1
Sam Adams,2,4,19,0,10,0,0,10,1271,2,1,16
Dos Equis,0,1,0,0,0,0,0,0,0,0,0,0
Michelob Ultra,1,0,1,0,0,0,0,1,0,0,1,0
Rolling Rock,0,0,0,0,0,0,0,0,0,0,0,0
Red Stripe,0,0,1,6,0,11,1,5,1,1,0,1
Miller Lite,27,82,117,0,82,0,0,47,0,59,5,1
Pilsner Urquell,17,177,58,4,90,0,0,88,2,15,6419,76
Sierra Nevada Brewing,14,35,31,1,31,0,0,45,2,20,35,6285
