,Blue Moon is similar to,Bud Light is similar to,Budweiser is similar to,Busch is similar to,Coors is similar to,Coors Light is similar to,Corona is similar to,Corona Extra is similar to,Goose Island is similar to,Hefeweizen is similar to,Heineken is similar to,Hopworks is similar to,Kirin is similar to,Kolsch is similar to,Lagunitas Brewing is similar to,Miller Lite is similar to,MillerCoors is similar to,New Belgium Brewing is similar to,Pabst is similar to,Pabst Blue Ribbon is similar to,Pacific Northwest is similar to,Pilsner Urquell is similar to,Samuel Adams is similar to,Sierra Nevada is similar to,Sierra Nevada Brewing is similar to,Sierra Nevada Pale Ale is similar to,Stella Artois is similar to,Stone Brewing is similar to,Golden Road is similar to,Kona is similar to
Bud Light,0,6384,1879,59,534,292,0,1,0,24,202,5,0,10,13,61,420,42,608,454,0,8,0,8,5,6,0,30,0,0
Coors Light,0,27,192,51,1496,687,0,0,0,7,217,5,0,5,101,15,1946,131,440,101,0,5,0,31,75,8,0,91,0,0
Budweiser,1,6386,6406,288,925,380,0,4,1,121,887,8,0,55,62,81,865,126,1723,976,0,45,1,23,24,23,0,87,2,0
Corona Extra,17,46,87,21,125,44,1029,6074,0,4,156,1,0,4,20,7,83,3,317,59,0,0,0,6,5,1,1,5,0,1
Guinness,1,9,50,6,39,40,3,0,10,30,398,5,0,20,29,7,19,12,56,49,1,19,1,3,8,9,0,14,1,4
Heineken,0,3,54,67,25,8,1,1,0,20,671,1,0,10,9,1,26,9,111,20,0,4,1,4,3,2,0,5,0,0
Stella Artois,0,7,74,15,121,21,0,0,0,8,206,2,0,7,10,1,83,14,235,42,0,1,0,3,2,3,889,1,0,0
Blue Moon,342,28,30,1,49,34,3,0,1,6,22,1,1,9,43,14,50,120,99,33,0,1,0,9,22,18,0,35,1,0
Pabst Blue Ribbon,0,8,26,8,40,41,0,0,0,4,38,2,0,5,14,3,13,10,851,2294,1,1,0,1,6,5,0,13,0,0
Miller High Life,0,0,4,1,3,0,0,0,0,0,1,0,0,0,0,0,51,0,5,0,0,0,0,0,1,1,0,2,0,0
Sam Adams,0,2,19,3,10,4,0,0,0,3,10,0,0,8,13,2,15,19,19,10,0,1,1271,6,16,6,0,13,0,0
Dos Equis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michelob Ultra,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
Rolling Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Stripe,1,0,1,4,0,0,3,6,1,0,0,0,15,0,0,1,0,0,0,5,0,0,1,0,1,0,11,0,1,0
Miller Lite,0,27,117,34,164,82,0,0,0,7,82,1,0,4,6,59,317,16,101,47,0,5,0,1,1,7,0,7,0,0
Pilsner Urquell,0,17,58,41,122,177,0,4,0,646,90,2,0,164,86,15,19,125,178,88,0,6419,2,10,76,162,0,140,1,0
Sierra Nevada Brewing,0,14,31,23,47,35,2,1,6,43,31,3,1,34,231,20,62,242,141,45,15,35,2,5150,6285,6216,0,89,2,4
