,The beer brand is similar to
ABI,1
Anheuser-Busch InBev,326
Belgian Witbier,14
Black Sheep,5
Blue Moon,71
Blue Moon Belgian White,0
Brouwer Brothers Brewing Company,1
Bud Ice,0
Bud Light,304
Budweiser,1104
Busch,366
Busch Light,0
China Brews,1
Coopers Brewery,3
Coors,313
Coors Banquet,0
Coors Light,253
Corky,2
Corona,188
Corona Extra,18
Corona Light,4
Corona Sun,1
Dos Equis,0
Goose Island,303
Goose Island Brewing,20
Guiness,0
Hefeweizen,16
Hefeweizen-Duprechtsbier,1
Hefeweizen-Lager,1
Hefeweizen-Lager-Lager,1
Hefeweizen-Lager-Lager-Lager,1
Hefeweizen-Lager-Pilsner,1
Heineken,153
Hops for Hops,1
Hopworks,18
Keystone Light,0
Kirin,16
Kirin IPA,1
Kolsch,30
Lager,340
Lagunitas Brewing,12
Michelob Ultra,1
Miller High Life,7
Miller Lite,120
MillerCoors,252
Milwaukee's Best Ice,0
Modelo Especial,0
Natty Light,0
Natural Ice,0
Natural Light,0
New Belgium Brewing,33
Pabst,130
Pabst Blue Ribbon,90
Pabstlight,1
Pacific Northwest,34
Pilsner,248
Pilsner Urquell,108
Red Stripe,0
Rolling Rock,0
Sam Adams,8
Samuel Adams,17
Sierra Nevada,325
Sierra Nevada Brewing,71
Sierra Nevada Craft Brewery,1
Sierra Nevada Pale Ale,74
Sierra Nevada Pale Ale Black,1
Sierra Nevada Pale Ale Extra,1
Steel Reserve,0
Stella Artois,151
Stone,95
Stone Brewing,47
Stout,267
Sudhau,0
The Brewmaster,22
Yeungling Lager,0
