,The beer brand is similar to
Belgian White,2
Belgian Witbier,14
Blue Moon,71
Bud Light,304
Budweiser,1104
Busch,366
Coors,314
Coors Light,254
Corona,188
Corona Extra,18
Dos Equis,0
Golden Road,47
Goose Island,303
Guiness,0
Hefeweizen,16
Heineke,0
Hopworks,18
Kirin,16
Kolsch,30
Kona,36
Lagunitas Brewing,12
Michelob Ultra,1
Miller High Life,7
Miller Lite,121
MillerCoors,252
New Belgium Brewing,33
Pabst,130
Pabst Blue Ribbon,90
Pacific Northwest,34
Pilsner Urquell,108
Red Stripe,0
Rolling Rock,0
Samuel Adams,17
Sierra Nevada,325
Sierra Nevada Brewing,71
Sierra Nevada Pale Ale,74
Stella Artois,151
Stone,95
Stone Brewing,47
