,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,88,3,3,3,1,3,2,2,3,2,4,5,7,5,6
Mercedes-Benz,4,71,1,1,1,6,1,0,2,2,3,8,7,4,6
Ford,3,0,89,3,3,4,2,5,2,9,3,1,5,0,9
Hyundai,0,0,0,78,6,1,1,0,0,0,2,1,1,0,0
Kia,0,0,0,13,82,0,0,0,0,0,0,0,1,0,1
Ram,0,0,0,1,0,77,1,4,0,0,0,0,1,0,0
Subaru,0,0,0,0,1,0,89,0,0,0,0,1,0,0,2
Jeep,0,0,0,0,0,0,0,81,1,0,0,0,0,0,0
Toyota,0,0,2,2,6,2,5,4,79,2,7,0,5,1,4
Chevrolet,0,2,1,0,0,2,1,0,1,64,0,0,0,1,37
Honda,1,0,0,2,0,0,1,4,0,0,86,0,0,1,5
Audi,0,2,1,2,1,0,1,0,0,1,4,73,3,1,3
Lexus,0,0,0,0,2,0,0,1,3,0,0,0,84,0,0
Tesla,6,3,2,3,4,2,0,0,4,15,5,2,4,87,9
GMC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52
