,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,50,4,2,0,3,3,2,1,3,2,3,6,4,3,0
Mercedes-Benz,6,42,1,1,1,2,0,0,4,2,1,8,4,3,1
Ford,0,2,54,1,2,3,1,7,1,3,1,0,1,0,7
Hyundai,0,0,0,50,2,1,0,2,0,1,0,0,0,0,0
Kia,0,0,0,6,52,0,0,1,0,0,0,0,0,0,0
Ram,0,0,0,0,0,41,1,3,0,0,0,0,0,0,0
Subaru,0,0,0,0,1,0,54,1,1,0,0,0,2,0,0
Jeep,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0
Toyota,1,1,1,1,6,0,2,3,54,1,2,0,8,0,3
Chevrolet,1,0,1,0,0,2,2,2,0,47,1,0,0,2,23
Honda,0,0,0,1,3,1,0,2,2,1,45,0,1,0,0
Audi,3,3,1,3,2,0,0,1,2,0,0,46,4,0,0
Lexus,1,0,0,1,0,0,0,0,4,0,0,0,53,0,0
Tesla,3,3,4,1,3,1,0,1,3,8,5,1,1,55,3
GMC,0,0,0,0,0,0,0,1,0,1,0,0,0,0,30
