,Unnamed: 0,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
0,BMW,298,15,12,8,10,9,8,3,8,6,8,28,30,17,9
1,Mercedes-Benz,24,244,7,5,13,12,3,1,8,6,8,22,30,9,12
2,Ford,5,7,325,8,6,8,4,25,11,19,8,8,16,10,23
3,Hyundai,1,0,3,271,11,1,1,2,1,3,0,1,4,1,0
4,Kia,0,1,2,49,316,0,2,1,0,0,1,0,0,0,2
5,Ram,0,0,1,1,0,277,1,11,0,0,0,0,0,1,0
6,Subaru,1,0,1,0,3,0,314,1,1,0,0,0,5,0,0
7,Jeep,0,0,0,1,0,1,1,287,0,2,0,1,1,1,0
8,Toyota,6,5,6,14,12,6,20,12,291,12,15,2,36,5,15
9,Chevrolet,1,0,7,1,2,4,2,7,2,246,2,4,7,3,152
10,Honda,0,1,1,16,6,3,6,3,9,4,300,1,6,4,2
11,Audi,11,8,3,8,5,3,1,2,4,0,3,285,15,3,7
12,Lexus,1,3,0,2,1,0,1,3,17,0,1,2,303,1,3
13,Tesla,18,19,23,9,12,8,4,5,18,27,11,3,6,327,28
14,GMC,0,0,0,0,0,0,0,1,0,6,0,0,1,0,169
