V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,PROLIFIC_PID,Q1,for,hyu,bmw,sub,jee,toy,che,hon,aud,mer,tes,dod,lex,por,vol,fer,nis,maz,lam,ren,vol,id,age,gender,edu,inc,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,PROLIFIC_PID,Please complete the following sentences as the average person would. ,Ford is similar to... ,Hyundai is similar to... ,BMW is similar to... ,Subaru is similar to... ,Jeep is similar to... ,Toyota is similar to... ,Chevrolet is similar to... ,Honda is similar to... ,audi,Mercedes-Benz is similar to... ,Tesla is similar to... ,Dodge is similar to... ,Lexus is similar to... ,Porsche is similar to... ,Volkswagen is similar to... ,Ferrari is similar to... ,Nissan is similar to... ,Mazda is similar to... ,Lamborghini is similar to... ,Renault is similar to... ,Volvo is similar to... ,Prolific ID: ,How old are you? ,What is your gender? ,What is the highest level of school you have completed or the highest degree you have received? ,"What was your household income in the last tax year, before tax was deducted? ",LocationLatitude,LocationLongitude,LocationAccuracy,
R_3ZUWqpoR9RHUsVz,Default Response Set,Anonymous,,,172.58.184.49,0,2020-12-16 17:07:42,2020-12-16 17:12:32,1,5dbf5cd284738d3f6e12bccb,1,,KIA ,Mercedes Benz ,,,,Gmc,,Porsche,BMW ,,,Toyota,Vw,,Lamborghini,Infinity,,Chrysler,,,5dbf5cd284738d3f6e12bccb,49,1,2,1,36.734802246094,-76.234298706055,-1,
R_1CIrBY9w2VQdWvd,Default Response Set,Anonymous,,,66.108.215.98,0,2020-12-16 17:12:31,2020-12-16 17:14:31,1,598a37f8efe76a00018ea9fe,1,being average,,,,,,being average,,being above aveage,being wealthy,being environmentally conscious,being average,being wealthy,,being average,being wealty,,,being wealthy,,,598a37f8efe76a00018ea9fe,53,2,2,11,40.694000244141,-73.821998596191,-1,
R_yIlHFCMVjpCbV9T,Default Response Set,Anonymous,,,71.84.237.51,0,2020-12-16 17:13:56,2020-12-16 17:15:47,1,5f3bfb17d479a69a59ef55bc,1,,,Mercedes ,,,Honda,,,BMW,BMW,itself,,Acura,Itself,,,,Toyota,itself,,Volkswagon,5f3bfb17d479a69a59ef55bc,35,2,6,12,34.091506958008,-118.13069915771,-1,
R_3fjfUvMYacl8Obk,Default Response Set,Anonymous,,,65.24.253.51,0,2020-12-16 17:23:51,2020-12-16 17:25:37,1,5f9e48d0d151db401514515f,1,,,Tesla,,,Chevy ,Mazda ,,N/A,,BMW,,Hundai,Ferrari ,,Porsche,,Honda,,N/A,,5f9e48d0d151db401514515f,22,1,3,2,39.988098144531,-83.047897338867,-1,
R_3n94NNjcE5AZD7c,Default Response Set,Anonymous,,,99.9.88.42,0,2020-12-16 17:26:35,2020-12-16 17:27:55,1,5f3cc3c68741a5b46893180e,1,,,,,,Honda,,,,,,,,,,,,,,,,5f3cc3c68741a5b46893180e,30,1,7,11,32.660903930664,-97.034202575684,-1,
R_1jPKGFeB9V8sub2,Default Response Set,Anonymous,,,24.255.54.3,0,2020-12-16 17:28:37,2020-12-16 17:29:35,1,5fc6a3a40fa45d0875801073,1,,sedan,,outdoors,outdoors,,,,rich,rich,rich,truck,,,,,normal,,rich,,weird,5fc6a3a40fa45d0875801073,18,1,3,7,33.752899169922,-112.08930206299,-1,
R_2WS7faEVWvam0PQ,Default Response Set,Anonymous,,,76.94.18.204,0,2020-12-16 17:24:31,2020-12-16 17:29:51,1,5843f6ba556742000111aebf,1,,,rich peolpe,,Humvees,Honda,,,,,,decent cars,Toyota,rich people,,,a car brand,,rich people,unsure,decent cars,5843f6ba556742000111aebf,21,1,3,1,34.080307006836,-117.73500061035,-1,
R_3DkzrJD7oe7Z18w,Default Response Set,Anonymous,,,107.77.209.4,0,2020-12-16 17:24:25,2020-12-16 17:30:55,1,5e83fab3555210152b82004f,1,,WV,,Honda,,GM,Ford,Subaru,,Audi,,,,Astion Martin,,,Fiat,,Ferrari,Kia,,5e83fab3555210152b82004f,27,1,5,8,38.577392578125,-90.6708984375,-1,
R_1LXA4DqhibuwJJh,Default Response Set,Anonymous,,,173.28.250.206,0,2020-12-16 17:28:41,2020-12-16 17:31:23,1,5e8403df91be011665b49f7f,1,Chevy,Honda,,,,,Ford,,,Bentley,,,,Jaguar ,,Mustang,Hyundai,,Jaguar,Volkswagen ,Volkswagen ,5e8403df91be011665b49f7f,25,3,2,1,41.551605224609,-90.50170135498,-1,
R_1CDxf4eOELzCZyc,Default Response Set,Anonymous,,,96.44.28.126,0,2020-12-16 17:30:59,2020-12-16 17:33:04,1,5f29c72252f67f1521f00e05,1,,kia,,mazada,hummer,honda,,,bmw,lexus,,,porsche ,,fiat,,mitsubushi ,,bugatti,,,5f29c72252f67f1521f00e05,21,1,2,11,42.270904541016,-83.72679901123,-1,
R_3m2EPQIQ86z8jRz,Default Response Set,Anonymous,,,76.125.171.126,0,2020-12-16 17:27:08,2020-12-16 17:33:45,1,59ff85cb7542890001aa60f1,1,,Sonata,M8,,,,Camaro,Civic,,,,,RC,Taycan,Atlas,,,Miata,Aventador,,Cross country,59ff85cb7542890001aa60f1,20,2,2,2,40.16780090332,-80.259101867676,-1,
R_qyA8rOsuPOkz72N,Default Response Set,Anonymous,,,97.126.74.180,0,2020-12-16 17:33:45,2020-12-16 17:34:43,1,558cf4f8fdf99b0f1cc5f52a,1,,,Lexus,Volvo,Military,,GM,Toyota,,,,,BMW,,Suburu,Lamborgini,,Crap,Ferrari,,,558cf4f8fdf99b0f1cc5f52a,39,2,5,11,47.630004882812,-122.29719543457,-1,
