"","brand1","brand2","frq"
"1","Jeep","Subaru",13
"2","Jeep","Dodge",270
"3","Jeep","Tesla",42
"4","Jeep","Toyota",352
"5","Jeep","Honda",177
"6","Jeep","Nissan",116
"7","Jeep","Chevrolet",522
"8","Jeep","Hyundai",77
"9","Jeep","Mazda",11
"10","Jeep","Renault",2
"11","Jeep","Lamborghini",5
"12","Jeep","Mercedes-Benz",49
"13","Jeep","BMW",81
"14","Jeep","Ford",850
"15","Jeep","Porsche",40
"16","Jeep","Audi",20
"17","Jeep","Volkswagen",77
"18","Jeep","Ferrari",5
"19","Jeep","Lexus",6
"20","Jeep","Volvo",14
"21","Subaru","Jeep",0
"22","Subaru","Dodge",0
"23","Subaru","Tesla",0
"24","Subaru","Toyota",9
"25","Subaru","Honda",8
"26","Subaru","Nissan",2
"27","Subaru","Chevrolet",0
"28","Subaru","Hyundai",0
"29","Subaru","Mazda",3
"30","Subaru","Renault",0
"31","Subaru","Lamborghini",1
"32","Subaru","Mercedes-Benz",1
"33","Subaru","BMW",0
"34","Subaru","Ford",4
"35","Subaru","Porsche",0
"36","Subaru","Audi",0
"37","Subaru","Volkswagen",0
"38","Subaru","Ferrari",0
"39","Subaru","Lexus",1
"40","Subaru","Volvo",0
"41","Dodge","Jeep",92
"42","Dodge","Subaru",1
"43","Dodge","Tesla",4
"44","Dodge","Toyota",35
"45","Dodge","Honda",36
"46","Dodge","Nissan",6
"47","Dodge","Chevrolet",84
"48","Dodge","Hyundai",13
"49","Dodge","Mazda",14
"50","Dodge","Renault",0
"51","Dodge","Lamborghini",11
"52","Dodge","Mercedes-Benz",38
"53","Dodge","BMW",22
"54","Dodge","Ford",216
"55","Dodge","Porsche",61
"56","Dodge","Audi",5
"57","Dodge","Volkswagen",6
"58","Dodge","Ferrari",32
"59","Dodge","Lexus",5
"60","Dodge","Volvo",0
"61","Tesla","Jeep",23
"62","Tesla","Subaru",2
"63","Tesla","Dodge",0
"64","Tesla","Toyota",131
"65","Tesla","Honda",57
"66","Tesla","Nissan",118
"67","Tesla","Chevrolet",60
"68","Tesla","Hyundai",16
"69","Tesla","Mazda",4
"70","Tesla","Renault",1
"71","Tesla","Lamborghini",3
"72","Tesla","Mercedes-Benz",116
"73","Tesla","BMW",118
"74","Tesla","Ford",208
"75","Tesla","Porsche",12
"76","Tesla","Audi",17
"77","Tesla","Volkswagen",34
"78","Tesla","Ferrari",5
"79","Tesla","Lexus",7
"80","Tesla","Volvo",13
"81","Toyota","Jeep",120
"82","Toyota","Subaru",24
"83","Toyota","Dodge",6
"84","Toyota","Tesla",627
"85","Toyota","Honda",962
"86","Toyota","Nissan",480
"87","Toyota","Chevrolet",296
"88","Toyota","Hyundai",94
"89","Toyota","Mazda",93
"90","Toyota","Renault",17
"91","Toyota","Lamborghini",3
"92","Toyota","Mercedes-Benz",183
"93","Toyota","BMW",277
"94","Toyota","Ford",1869
"95","Toyota","Porsche",27
"96","Toyota","Audi",51
"97","Toyota","Volkswagen",685
"98","Toyota","Ferrari",14
"99","Toyota","Lexus",195
"100","Toyota","Volvo",15
"101","Honda","Jeep",28
"102","Honda","Subaru",10
"103","Honda","Dodge",7
"104","Honda","Tesla",196
"105","Honda","Toyota",1595
"106","Honda","Nissan",404
"107","Honda","Chevrolet",133
"108","Honda","Hyundai",114
"109","Honda","Mazda",116
"110","Honda","Renault",8
"111","Honda","Lamborghini",5
"112","Honda","Mercedes-Benz",209
"113","Honda","BMW",772
"114","Honda","Ford",473
"115","Honda","Porsche",32
"116","Honda","Audi",33
"117","Honda","Volkswagen",123
"118","Honda","Ferrari",33
"119","Honda","Lexus",26
"120","Honda","Volvo",10
"121","Nissan","Jeep",41
"122","Nissan","Subaru",46
"123","Nissan","Dodge",5
"124","Nissan","Tesla",765
"125","Nissan","Toyota",1799
"126","Nissan","Honda",690
"127","Nissan","Chevrolet",259
"128","Nissan","Hyundai",141
"129","Nissan","Mazda",73
"130","Nissan","Renault",81
"131","Nissan","Lamborghini",10
"132","Nissan","Mercedes-Benz",260
"133","Nissan","BMW",730
"134","Nissan","Ford",606
"135","Nissan","Porsche",138
"136","Nissan","Audi",99
"137","Nissan","Volkswagen",576
"138","Nissan","Ferrari",93
"139","Nissan","Lexus",41
"140","Nissan","Volvo",21
"141","Chevrolet","Jeep",366
"142","Chevrolet","Subaru",16
"143","Chevrolet","Dodge",105
"144","Chevrolet","Tesla",491
"145","Chevrolet","Toyota",840
"146","Chevrolet","Honda",400
"147","Chevrolet","Nissan",307
"148","Chevrolet","Hyundai",86
"149","Chevrolet","Mazda",101
"150","Chevrolet","Renault",9
"151","Chevrolet","Lamborghini",5
"152","Chevrolet","Mercedes-Benz",188
"153","Chevrolet","BMW",202
"154","Chevrolet","Ford",2754
"155","Chevrolet","Porsche",48
"156","Chevrolet","Audi",35
"157","Chevrolet","Volkswagen",239
"158","Chevrolet","Ferrari",17
"159","Chevrolet","Lexus",44
"160","Chevrolet","Volvo",13
"161","Hyundai","Jeep",81
"162","Hyundai","Subaru",9
"163","Hyundai","Dodge",8
"164","Hyundai","Tesla",510
"165","Hyundai","Toyota",2201
"166","Hyundai","Honda",799
"167","Hyundai","Nissan",232
"168","Hyundai","Chevrolet",111
"169","Hyundai","Mazda",61
"170","Hyundai","Renault",15
"171","Hyundai","Lamborghini",2
"172","Hyundai","Mercedes-Benz",144
"173","Hyundai","BMW",298
"174","Hyundai","Ford",1224
"175","Hyundai","Porsche",27
"176","Hyundai","Audi",65
"177","Hyundai","Volkswagen",528
"178","Hyundai","Ferrari",34
"179","Hyundai","Lexus",62
"180","Hyundai","Volvo",42
"181","Mazda","Jeep",236
"182","Mazda","Subaru",55
"183","Mazda","Dodge",11
"184","Mazda","Tesla",232
"185","Mazda","Toyota",1504
"186","Mazda","Honda",894
"187","Mazda","Nissan",246
"188","Mazda","Chevrolet",143
"189","Mazda","Hyundai",124
"190","Mazda","Renault",7
"191","Mazda","Lamborghini",6
"192","Mazda","Mercedes-Benz",250
"193","Mazda","BMW",992
"194","Mazda","Ford",1329
"195","Mazda","Porsche",92
"196","Mazda","Audi",71
"197","Mazda","Volkswagen",484
"198","Mazda","Ferrari",27
"199","Mazda","Lexus",30
"200","Mazda","Volvo",9
"201","Renault","Jeep",39
"202","Renault","Subaru",6
"203","Renault","Dodge",4
"204","Renault","Tesla",34
"205","Renault","Toyota",279
"206","Renault","Honda",834
"207","Renault","Nissan",816
"208","Renault","Chevrolet",33
"209","Renault","Hyundai",19
"210","Renault","Mazda",14
"211","Renault","Lamborghini",61
"212","Renault","Mercedes-Benz",1731
"213","Renault","BMW",500
"214","Renault","Ford",126
"215","Renault","Porsche",181
"216","Renault","Audi",274
"217","Renault","Volkswagen",61
"218","Renault","Ferrari",2263
"219","Renault","Lexus",14
"220","Renault","Volvo",7
"221","Lamborghini","Jeep",50
"222","Lamborghini","Subaru",5
"223","Lamborghini","Dodge",5
"224","Lamborghini","Tesla",77
"225","Lamborghini","Toyota",44
"226","Lamborghini","Honda",211
"227","Lamborghini","Nissan",35
"228","Lamborghini","Chevrolet",51
"229","Lamborghini","Hyundai",5
"230","Lamborghini","Mazda",23
"231","Lamborghini","Renault",7
"232","Lamborghini","Mercedes-Benz",526
"233","Lamborghini","BMW",515
"234","Lamborghini","Ford",96
"235","Lamborghini","Porsche",537
