,The car brand Jeep is similar to,The car brand Subaru is similar to,The car brand Dodge is similar to,The car brand Tesla is similar to,The car brand Toyota is similar to,The car brand Honda is similar to,The car brand Nissan is similar to,The car brand Chevrolet is similar to,The car brand Hyundai is similar to,The car brand Mazda is similar to,The car brand Renault is similar to,The car brand Lamborghini is similar to,The car brand Mercedes-Benz is similar to,The car brand BMW is similar to,The car brand Ford is similar to,The car brand Porsche is similar to,The car brand Audi is similar to,The car brand Volkswagen is similar to,The car brand Ferrari is similar to,The car brand Lexus is similar to,The car brand Volvo is similar to
Jeep,26,1,2,1,1,0,0,1,1,3,0,2,1,2,1,0,0,0,4,0,0
Subaru,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dodge,1,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tesla,0,2,0,22,1,1,1,1,3,2,1,0,6,4,0,3,6,5,0,2,4
Toyota,4,10,4,2,24,11,4,4,6,9,1,0,3,7,8,2,0,0,0,5,2
Honda,0,4,0,1,6,26,1,2,4,6,3,1,0,0,2,0,0,0,2,2,0
Nissan,0,5,3,1,1,2,23,4,0,3,2,0,1,1,1,0,1,1,1,2,1
Chevrolet,2,2,1,2,1,0,4,20,0,0,0,0,3,1,1,2,0,1,1,0,0
Hyundai,1,2,1,0,2,1,0,1,26,0,1,0,0,1,1,0,1,1,0,0,0
Mazda,0,2,0,0,0,1,0,0,2,23,0,0,1,1,1,0,0,0,0,1,0
Renault,0,0,0,0,0,0,1,0,0,0,25,0,0,0,1,0,0,0,1,0,0
Lamborghini,0,0,0,0,0,0,0,0,1,0,0,29,0,0,0,0,1,0,0,0,0
Mercedes-Benz,2,2,2,4,5,8,5,1,3,2,10,5,22,16,5,7,7,5,14,5,12
BMW,2,6,4,10,2,4,4,2,6,7,6,2,9,25,6,6,9,1,6,9,11
Ford,20,11,12,9,8,4,5,19,6,9,6,0,3,7,26,8,2,8,0,7,11
Porsche,2,0,2,0,1,1,0,2,2,3,2,1,0,3,1,24,3,2,2,2,2
Audi,1,0,2,3,2,0,2,0,2,2,1,3,0,3,0,0,21,4,0,5,1
Volkswagen,2,6,2,4,7,5,4,2,5,2,6,3,4,2,4,6,7,17,3,1,2
Ferrari,1,0,1,0,1,1,3,0,2,0,5,18,3,3,2,7,2,0,23,6,0
Lexus,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,27,1
Volvo,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22
