,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,44,0,0,0,1,0,1,2,1,1,0,1,1,0,1,1,1,2,1,0,1
Subaru,1,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dodge,4,0,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tesla,1,0,0,50,7,3,4,3,4,2,0,1,0,1,3,1,1,2,0,2,6
Toyota,4,0,0,2,41,11,15,9,10,14,1,2,4,2,2,3,0,5,0,6,3
Honda,4,0,0,0,6,44,2,5,7,14,5,2,1,0,3,3,2,1,2,4,4
Nissan,1,0,1,1,4,8,46,3,3,0,8,0,2,2,2,1,0,1,0,4,3
Chevrolet,3,0,0,1,3,2,3,33,1,0,0,0,0,0,4,0,0,0,0,0,2
Hyundai,1,0,1,0,0,2,1,0,44,1,0,0,0,0,0,0,0,0,0,1,0
Mazda,0,0,0,0,1,0,1,1,1,47,0,0,1,1,0,0,3,0,0,0,0
Renault,0,0,0,0,0,0,1,0,0,0,28,0,3,2,0,0,0,0,1,1,2
Lamborghini,0,0,0,0,0,1,0,0,0,0,0,50,0,1,0,1,0,0,1,0,0
Mercedes-Benz,1,0,0,2,1,2,0,1,1,1,18,6,41,12,3,1,5,2,6,6,5
BMW,1,0,0,1,2,8,3,5,2,5,3,9,11,43,1,11,16,3,4,13,9
Ford,8,0,1,1,10,4,9,18,15,10,0,0,4,0,33,4,5,7,0,1,8
Porsche,1,0,0,0,0,0,1,0,0,0,1,7,2,2,0,42,3,3,2,1,2
Audi,1,0,0,1,0,0,0,0,1,0,0,2,3,4,1,4,41,6,1,3,3
Volkswagen,4,0,0,0,8,0,9,3,7,3,0,1,1,0,1,4,12,38,0,0,5
Ferrari,0,0,0,0,0,0,1,0,1,0,24,17,2,2,1,10,1,0,47,0,0
Lexus,1,0,0,0,2,2,1,0,2,0,0,0,3,1,0,0,0,0,0,12,0
Volvo,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,39
