,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,52,0,3,0,1,0,0,3,0,2,0,0,0,0,0,0,0,2,2,1,2
Subaru,0,41,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodge,2,0,54,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Tesla,0,0,0,58,2,2,6,3,4,4,2,2,5,3,2,4,2,0,0,0,9
Toyota,3,0,0,4,53,12,15,3,21,18,5,0,5,0,3,0,6,3,1,9,9
Honda,2,0,0,0,10,57,9,5,7,8,9,1,0,1,2,0,4,1,2,2,3
Nissan,0,0,0,1,4,4,54,5,0,2,6,0,0,0,1,0,3,3,0,2,4
Chevrolet,3,0,1,0,1,1,3,46,0,2,0,0,1,0,2,1,0,1,0,1,3
Hyundai,1,0,1,0,0,1,1,2,50,2,1,0,0,0,0,0,0,0,0,0,0
Mazda,0,0,0,0,0,1,0,1,1,44,0,0,0,1,2,0,1,0,0,1,0
Renault,0,0,0,0,0,0,3,0,0,0,39,0,0,0,0,0,1,0,0,2,2
Lamborghini,0,0,1,0,0,0,0,0,0,0,0,59,0,0,0,1,1,0,0,0,0
Mercedes-Benz,1,0,1,2,2,2,1,1,2,3,17,3,49,8,3,5,8,3,9,8,2
BMW,1,0,0,1,4,9,7,2,5,7,9,9,10,56,2,16,18,2,3,23,6
Ford,4,0,2,3,18,7,8,28,12,11,1,0,1,1,36,6,6,8,0,3,9
Porsche,1,0,1,0,0,0,1,0,0,1,2,2,1,1,1,54,2,4,1,3,2
Audi,0,0,0,0,0,0,1,0,1,1,3,1,3,1,1,6,48,11,0,7,1
Volkswagen,1,0,0,0,10,0,6,2,7,5,0,1,5,1,1,2,16,46,0,1,4
Ferrari,0,0,1,0,0,0,0,0,0,0,24,14,4,1,4,13,1,2,56,0,0
Lexus,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,29,0
Volvo,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,40
