,The car brand Jeep is similar to,The car brand Subaru is similar to,The car brand Dodge is similar to,The car brand Tesla is similar to,The car brand Toyota is similar to,The car brand Honda is similar to,The car brand Nissan is similar to,The car brand Chevrolet is similar to,The car brand Hyundai is similar to,The car brand Mazda is similar to,The car brand Renault is similar to,The car brand Lamborghini is similar to,The car brand Mercedes-Benz is similar to,The car brand BMW is similar to,The car brand Ford is similar to,The car brand Porsche is similar to,The car brand Audi is similar to,The car brand Volkswagen is similar to,The car brand Ferrari is similar to,The car brand Lexus is similar to,The car brand Volvo is similar to
Jeep,26,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,2,6,0,0
Subaru,0,30,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Dodge,0,0,24,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Tesla,0,0,0,26,3,1,5,5,2,2,3,2,3,3,2,2,1,0,1,2,6
Toyota,7,6,1,2,24,8,7,5,6,5,3,0,4,0,7,0,1,2,0,7,0
Honda,2,1,2,2,3,26,1,0,3,1,3,0,0,0,2,0,1,1,1,3,0
Nissan,1,0,1,0,4,2,27,2,2,0,3,0,1,0,3,0,0,0,0,0,0
Chevrolet,3,0,3,0,0,0,0,22,1,1,0,1,0,0,1,0,0,3,0,2,0
Hyundai,0,1,0,1,0,0,3,0,22,2,1,0,0,0,0,0,0,2,0,1,0
Mazda,0,0,0,0,0,3,0,0,0,25,0,0,1,0,0,0,0,0,1,0,0
Renault,0,0,0,0,0,0,0,0,0,1,21,1,0,0,0,0,0,0,1,0,0
Lamborghini,0,0,0,0,0,0,1,0,0,0,0,27,0,0,0,0,0,1,1,0,0
Mercedes-Benz,0,4,4,5,6,6,4,2,5,3,6,8,18,8,5,7,12,4,12,7,6
BMW,2,8,5,8,4,3,6,2,9,4,6,0,8,25,4,6,11,9,8,8,6
Ford,20,7,17,13,5,8,6,20,14,14,5,3,4,5,25,5,3,2,2,4,9
Porsche,1,1,1,1,2,0,0,1,2,3,3,5,1,4,1,27,4,6,4,0,0
Audi,0,1,0,1,1,1,0,2,3,3,4,3,1,2,0,1,26,5,5,4,0
Volkswagen,1,5,2,1,6,6,5,1,8,1,6,2,4,1,7,2,4,18,3,6,0
Ferrari,2,2,0,0,2,1,1,1,0,0,5,19,3,4,2,9,1,4,23,0,1
Lexus,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,30,0
Volvo,0,0,0,0,0,0,1,0,3,0,2,0,0,0,2,0,0,0,0,1,24
