,Unnamed: 0,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
0,Jeep,675,0,9,2,15,6,2,60,6,26,2,6,8,4,11,2,15,15,13,3,10
1,Subaru,0,475,0,0,1,2,5,0,0,2,1,2,0,1,2,0,0,1,0,23,3
2,Dodge,28,0,656,0,1,3,1,11,2,1,2,1,1,0,6,0,1,1,1,0,0
3,Tesla,2,0,0,715,63,27,80,48,68,26,4,6,23,17,24,14,32,38,5,20,115
4,Toyota,42,2,5,17,660,203,219,85,244,187,29,9,46,39,35,22,58,78,7,147,79
5,Honda,21,1,2,11,118,712,82,44,90,106,100,29,7,24,38,13,50,19,30,77,55
6,Nissan,16,1,0,19,53,57,653,36,27,30,101,3,11,14,15,5,18,8,3,56,26
7,Chevrolet,58,0,6,6,28,16,23,542,16,16,5,5,7,9,35,8,10,10,0,14,51
8,Hyundai,8,0,0,2,13,17,15,9,631,14,3,0,3,4,5,0,2,4,0,7,9
9,Mazda,1,2,1,0,9,11,9,8,8,590,2,1,2,5,9,4,7,3,0,24,3
10,Renault,0,0,0,0,0,0,9,2,1,2,510,1,6,5,0,3,8,2,14,9,10
11,Lamborghini,0,0,2,0,1,2,3,0,0,1,5,724,5,7,6,13,2,0,12,4,1
12,Mercedes-Benz,6,0,5,13,23,28,35,22,19,36,216,63,659,111,23,66,87,23,102,124,40
13,BMW,9,0,3,10,35,98,88,32,43,123,63,82,147,680,22,131,217,26,36,238,132
14,Ford,108,1,22,23,236,52,86,367,146,158,16,12,41,22,477,58,30,90,7,32,95
15,Porsche,3,0,10,1,4,3,20,3,4,13,20,73,30,27,20,608,29,43,23,35,12
16,Audi,2,0,1,3,8,6,8,3,5,9,41,47,53,36,7,55,584,92,14,69,13
17,Volkswagen,9,0,2,5,84,12,77,23,54,57,9,3,61,24,15,67,137,596,1,15,31
18,Ferrari,0,0,5,0,1,4,10,0,6,7,265,238,44,15,25,153,16,1,711,14,2
19,Lexus,0,0,0,1,24,0,2,9,11,1,1,3,7,2,3,1,2,2,0,253,0
20,Volvo,3,0,0,0,0,2,2,3,2,2,0,0,2,5,0,0,1,1,0,1,547
