,Unnamed: 0,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
0,Jeep,548,0,7,3,12,3,3,25,7,20,2,7,7,4,12,4,8,12,16,3,4
1,Subaru,2,411,0,0,3,2,5,4,1,5,1,1,0,3,0,0,1,2,0,14,6
2,Dodge,21,0,523,0,1,0,0,11,0,1,0,0,0,1,6,0,3,0,1,3,0
3,Tesla,3,0,1,570,68,14,80,43,44,29,4,1,29,8,19,20,21,40,9,20,97
4,Toyota,36,0,2,8,524,140,183,82,217,137,16,5,43,17,23,16,54,61,6,99,60
5,Honda,14,1,3,2,84,571,72,48,81,91,76,18,17,16,34,5,30,18,18,41,50
6,Nissan,9,0,0,13,38,36,525,31,20,23,81,1,9,5,20,6,15,7,2,49,21
7,Chevrolet,48,0,8,9,37,11,29,447,9,25,4,4,7,4,28,6,12,8,0,9,20
8,Hyundai,7,0,0,2,11,10,17,10,522,10,2,0,3,4,1,1,3,0,1,6,4
9,Mazda,0,0,2,1,11,10,9,8,4,460,0,2,4,3,11,1,7,4,1,17,6
10,Renault,0,0,0,0,1,0,7,0,2,0,392,0,3,6,1,2,5,3,18,3,7
11,Lamborghini,0,1,1,0,0,1,1,1,1,1,7,585,1,1,2,6,4,0,5,11,1
12,Mercedes-Benz,3,0,4,11,24,27,30,20,10,27,170,50,539,94,22,65,73,15,72,109,31
13,BMW,5,0,2,14,27,87,72,11,25,87,52,52,157,547,32,137,161,17,23,210,103
14,Ford,76,0,18,16,186,34,56,266,119,142,7,15,27,17,384,53,33,67,4,17,87
15,Porsche,1,0,9,1,3,6,7,4,2,6,21,45,26,25,17,492,42,35,25,32,6
16,Audi,5,0,1,0,7,2,11,3,7,3,26,42,45,29,5,46,467,81,11,44,24
17,Volkswagen,7,0,2,2,71,7,59,21,47,37,9,6,34,17,10,62,119,458,3,7,21
18,Ferrari,1,0,4,0,0,7,15,2,4,1,229,193,31,11,25,100,10,1,556,11,0
19,Lexus,1,0,0,3,19,3,4,5,6,3,2,1,3,0,2,0,4,0,0,213,4
20,Volvo,1,0,0,2,2,1,2,1,7,0,0,1,1,1,2,0,4,2,0,0,437
