,The car brand Jeep is similar to,The car brand Subaru is similar to,The car brand Dodge is similar to,The car brand Tesla is similar to,The car brand Toyota is similar to,The car brand Honda is similar to,The car brand Nissan is similar to,The car brand Chevrolet is similar to,The car brand Hyundai is similar to,The car brand Mazda is similar to,The car brand Renault is similar to,The car brand Lamborghini is similar to,The car brand Mercedes-Benz is similar to,The car brand BMW is similar to,The car brand Ford is similar to,The car brand Porsche is similar to,The car brand Audi is similar to,The car brand Volkswagen is similar to,The car brand Ferrari is similar to,The car brand Lexus is similar to,The car brand Volvo is similar to
Jeep,73,0,11,3,3,2,2,0,6,6,2,3,4,1,6,1,2,1,8,0,0
Subaru,1,83,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodge,4,0,69,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
Tesla,3,3,0,79,6,3,7,9,11,4,1,7,10,6,8,10,11,8,5,4,9
Toyota,10,24,9,1,76,28,20,10,10,12,3,5,7,7,12,6,6,13,3,20,7
Honda,1,14,5,1,14,76,7,4,6,11,3,0,1,7,2,3,3,3,2,11,3
Nissan,2,5,6,2,5,10,78,3,7,4,9,2,1,1,2,3,1,6,3,2,1
Chevrolet,4,1,14,1,0,2,4,53,3,1,1,0,2,1,7,1,8,7,4,3,1
Hyundai,0,3,1,1,8,4,1,3,65,2,0,0,0,0,2,1,1,0,1,2,1
Mazda,1,3,0,1,1,5,2,1,1,70,0,0,0,1,1,0,1,3,0,0,0
Renault,0,0,0,0,1,0,3,1,1,0,60,1,1,1,1,0,2,2,5,2,0
Lamborghini,0,0,2,0,0,1,0,0,1,0,0,78,1,2,0,1,0,1,2,0,1
Mercedes-Benz,7,5,13,16,10,18,14,7,11,11,13,16,60,39,13,18,31,18,30,23,14
BMW,4,20,16,36,18,11,14,6,16,10,19,6,27,73,22,17,30,15,21,31,15
Ford,53,19,49,12,26,18,20,56,27,39,14,10,7,9,76,12,6,28,10,15,35
Porsche,0,3,7,5,2,3,3,0,4,1,8,5,8,7,4,77,16,7,13,9,6
Audi,1,0,4,4,3,4,2,0,7,5,17,4,7,8,4,11,63,17,3,10,4
Volkswagen,5,22,8,17,16,7,19,8,19,9,19,5,13,9,17,15,11,61,9,8,4
Ferrari,0,2,1,1,4,6,4,4,6,1,13,43,4,7,1,16,6,1,69,5,0
Lexus,2,1,1,0,2,2,0,2,2,0,0,0,2,1,1,0,1,1,0,74,0
Volvo,1,0,1,0,1,1,3,2,2,2,0,0,2,0,2,0,0,0,0,0,69
