,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,5614,0,96,21,123,29,45,369,79,238,36,47,64,31,85,46,98,145,107,23,60
Subaru,12,4091,2,3,25,11,48,15,9,58,6,5,5,10,9,6,17,10,2,96,24
Dodge,272,84,5524,0,7,5,6,107,8,10,4,5,8,8,42,3,10,11,3,10,16
Tesla,41,0,4,5948,626,199,767,492,518,233,33,82,243,152,219,167,252,304,46,224,910
Toyota,350,8,31,131,5358,1612,1794,844,2200,1499,278,42,461,235,321,173,455,651,46,1050,640
Honda,175,12,31,55,955,5931,678,405,803,876,837,208,121,209,356,104,393,173,209,533,472
Nissan,117,1,6,123,478,407,5521,309,235,244,822,38,78,104,161,57,153,91,32,497,227
Chevrolet,515,0,82,60,291,130,260,4560,110,143,32,51,69,58,300,56,120,107,15,116,315
Hyundai,77,0,13,19,101,114,154,85,5313,120,22,6,25,27,20,8,28,40,3,48,87
Mazda,11,3,13,3,93,118,73,106,61,4968,14,22,22,36,105,28,75,42,9,217,34
Renault,1,0,0,2,15,6,81,8,14,7,4103,8,36,40,8,26,52,34,113,50,98
Lamborghini,5,0,12,2,3,5,10,6,1,7,63,6004,26,28,26,105,27,5,76,25,8
Mercedes-Benz,48,1,38,115,190,205,266,190,141,246,1728,510,5444,917,229,558,731,209,799,1054,356
BMW,80,0,21,123,290,768,721,202,299,989,500,503,1350,5571,250,1280,1786,280,268,2079,1077
Ford,855,2,224,211,1867,463,612,2755,1225,1342,124,102,311,169,3943,550,369,696,50,271,830
Porsche,37,0,63,11,28,33,136,48,24,95,174,553,274,272,176,5073,264,361,203,294,92
Audi,20,0,5,17,54,32,97,36,65,73,271,416,465,339,72,447,4873,751,104,471,183
Volkswagen,71,0,6,35,700,118,566,243,526,487,61,27,473,178,122,621,1300,4858,20,117,281
Ferrari,3,0,33,5,14,34,95,18,32,25,2257,1985,329,125,250,1152,111,23,5839,87,13
Lexus,5,1,6,6,194,28,42,44,57,30,12,14,47,23,14,11,28,20,3,2075,18
Volvo,15,0,0,14,14,10,21,13,44,9,7,3,22,11,8,6,29,21,1,9,4605
