,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,604,0,16,1,8,3,8,32,8,24,1,3,6,3,8,12,20,19,8,2,4
Subaru,0,419,0,1,1,1,7,2,0,7,0,1,0,0,0,1,1,2,0,9,3
Dodge,33,12,619,0,2,1,1,17,0,1,1,1,2,2,4,1,1,2,0,1,1
Tesla,6,0,1,640,63,17,82,68,62,19,1,15,26,18,24,21,29,24,5,27,94
Toyota,30,0,4,13,580,171,201,105,225,153,27,6,49,25,43,22,54,78,5,114,49
Honda,17,2,2,10,97,644,70,45,74,93,86,20,17,28,31,12,52,15,16,57,43
Nissan,11,0,0,13,56,45,613,32,21,22,96,5,10,9,20,7,19,6,4,53,20
Chevrolet,58,0,15,16,34,12,21,480,10,18,1,7,6,7,25,7,14,25,2,11,32
Hyundai,9,0,1,3,13,9,10,11,552,21,2,1,2,1,1,2,2,6,0,4,7
Mazda,0,0,5,0,13,15,8,10,5,548,2,1,0,2,17,4,7,8,0,20,4
Renault,0,0,0,2,3,1,11,0,2,2,453,1,3,1,0,0,2,7,15,6,11
Lamborghini,0,0,0,0,0,0,2,2,0,2,11,653,3,0,4,11,4,1,10,1,0
Mercedes-Benz,4,0,3,10,17,26,30,21,17,34,188,61,604,91,24,46,67,31,98,119,38
BMW,7,0,2,9,27,79,87,21,32,107,62,55,152,606,12,127,197,38,32,230,96
Ford,93,0,25,16,208,62,69,296,139,149,18,7,25,18,439,65,57,81,3,32,94
Porsche,5,0,7,0,6,4,13,4,2,11,21,54,27,36,23,559,24,30,20,26,7
Audi,3,0,1,1,13,4,10,5,10,14,32,41,58,37,6,57,518,72,9,47,22
Volkswagen,3,0,1,4,76,15,64,25,54,58,8,2,37,13,13,74,127,506,1,16,34
Ferrari,0,0,1,0,2,4,15,2,4,3,255,204,23,11,37,125,11,2,634,13,1
Lexus,1,0,1,1,21,5,8,7,1,2,0,0,5,3,1,0,3,6,0,224,0
Volvo,3,0,0,4,1,1,2,0,3,3,1,0,3,1,0,0,2,4,0,3,509
