,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,810,0,17,3,25,3,7,50,12,35,3,6,6,5,11,5,11,16,15,3,7
Subaru,3,607,2,0,7,1,9,1,3,15,2,1,1,0,2,4,4,2,0,11,0
Dodge,47,8,781,0,1,0,0,12,0,4,0,0,2,1,6,1,0,1,0,1,1
Tesla,7,0,1,859,90,26,109,71,80,39,3,17,43,34,37,22,38,40,4,32,151
Toyota,50,3,5,30,776,253,235,120,347,218,31,3,82,33,47,26,56,88,8,150,90
Honda,29,1,10,5,150,853,92,62,100,134,130,29,19,38,55,16,55,19,35,79,68
Nissan,8,1,2,8,82,48,785,38,34,37,108,7,15,15,27,13,16,10,8,82,43
Chevrolet,73,0,11,2,44,15,38,655,21,27,5,6,13,5,37,12,12,16,5,22,55
Hyundai,13,0,5,1,13,12,30,14,768,16,4,0,5,2,6,2,4,8,0,2,16
Mazda,0,1,1,0,10,21,12,18,10,716,1,2,4,5,16,5,11,7,1,39,5
Renault,0,0,0,0,4,0,15,1,1,0,593,1,4,7,1,6,8,5,15,11,14
Lamborghini,0,0,5,0,0,0,1,0,0,0,8,860,7,4,1,19,2,1,15,4,1
Mercedes-Benz,13,1,7,19,33,25,37,23,19,29,240,76,768,138,28,80,123,26,115,140,62
BMW,14,0,5,12,43,99,101,28,43,132,68,76,173,798,37,196,277,33,40,273,148
Ford,118,1,37,33,252,74,87,391,151,203,15,14,53,23,586,70,47,102,11,43,123
Porsche,10,0,10,1,1,8,24,7,3,17,31,85,33,38,22,725,28,50,24,48,13
Audi,2,0,0,5,8,4,21,1,10,12,40,60,65,49,14,81,695,97,9,63,29
Volkswagen,13,0,0,4,110,15,77,39,91,76,5,3,78,26,26,76,190,710,7,16,30
Ferrari,0,0,9,0,3,5,10,3,3,1,343,273,56,16,30,185,17,9,831,17,4
Lexus,2,1,5,0,21,5,6,7,4,5,1,1,3,6,3,4,3,1,0,321,4
Volvo,2,0,0,1,1,2,6,1,12,0,0,2,3,1,1,4,7,4,1,0,647
