,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,664,0,12,3,15,4,9,49,9,30,6,3,7,2,11,5,11,12,15,3,9
Subaru,2,489,0,0,6,1,5,1,2,4,0,0,2,1,1,1,3,1,0,9,3
Dodge,34,8,674,0,0,0,1,13,2,1,0,0,0,0,3,0,1,0,0,1,3
Tesla,8,0,1,723,73,30,101,64,66,24,5,13,26,21,30,16,27,29,4,22,123
Toyota,48,0,5,12,635,184,226,120,252,190,47,3,56,30,36,21,47,74,2,121,84
Honda,23,0,6,5,120,711,76,53,113,115,110,29,14,22,49,23,52,27,27,71,55
Nissan,13,0,2,17,47,55,680,43,32,33,100,4,10,17,22,5,21,13,2,49,24
Chevrolet,70,0,12,7,30,20,29,559,16,12,6,8,7,9,34,5,20,9,1,14,33
Hyundai,9,0,1,5,10,20,16,13,649,12,2,0,4,7,3,1,4,8,0,10,12
Mazda,4,0,1,2,12,11,8,14,3,599,0,4,4,8,12,2,14,4,1,25,2
Renault,1,0,0,0,2,0,13,1,2,0,460,3,4,8,3,5,3,5,15,9,19
Lamborghini,3,0,2,0,0,1,0,0,0,1,6,726,1,1,3,12,4,1,16,1,2
Mercedes-Benz,6,0,7,12,17,27,27,20,14,24,213,52,661,113,23,69,84,25,84,130,38
BMW,13,0,5,19,30,101,77,30,27,113,74,56,162,662,35,163,197,36,20,259,126
Ford,110,0,27,23,227,51,57,339,155,157,18,7,40,14,458,63,46,76,4,30,98
Porsche,7,0,5,2,3,3,22,8,3,16,21,68,37,28,16,608,32,56,21,28,15
Audi,1,0,1,1,4,4,10,7,8,14,36,55,55,45,8,52,599,97,11,53,18
Volkswagen,14,0,0,6,72,17,65,39,65,65,4,2,61,23,10,76,190,597,1,19,33
Ferrari,0,0,2,0,2,2,13,2,5,4,257,239,40,13,38,141,14,4,701,3,2
Lexus,1,0,0,0,30,4,6,4,7,6,1,4,8,2,3,2,3,2,0,263,4
Volvo,0,0,0,3,3,1,1,2,4,3,2,0,2,0,0,0,2,4,0,0,564
