,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,53,2,3,0,2,0,0,0,1,1,1,1,4,4,0
Mercedes-Benz,4,44,2,2,1,1,0,1,3,2,0,4,4,2,0
Ford,1,1,56,0,0,1,1,1,2,4,1,2,1,4,7
Hyundai,0,0,2,46,3,0,1,0,2,0,1,0,0,0,0
Kia,0,0,0,7,50,0,1,0,0,0,0,0,0,0,0
Ram,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
Subaru,0,0,0,0,1,0,50,0,0,0,1,0,0,0,0
Jeep,0,0,0,0,0,2,0,45,0,0,0,0,0,0,0
Toyota,1,1,4,1,0,2,5,0,49,2,2,1,13,0,4
Chevrolet,1,0,1,0,1,2,1,0,2,41,1,0,0,1,30
Honda,0,0,2,2,1,0,4,0,3,0,53,1,2,0,1
Audi,2,2,0,0,0,0,0,0,1,0,1,46,3,0,1
Lexus,0,0,0,0,0,0,0,0,3,0,0,0,49,0,0
Tesla,1,2,2,1,2,2,0,1,2,4,1,2,3,58,6
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
