,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,14,2,0,0,4,0,0,0,2,0,0,0,2,1,0
Mercedes-Benz,3,14,0,0,2,1,1,0,1,0,0,0,0,1,0
Ford,0,1,20,0,1,3,0,1,0,4,2,0,1,0,3
Hyundai,0,0,0,10,2,0,0,0,0,0,1,0,0,0,0
Kia,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0
Ram,0,0,1,0,0,15,0,2,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
Jeep,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
Toyota,0,0,1,0,0,0,1,0,19,0,3,0,2,0,1
Chevrolet,0,0,0,0,1,1,0,0,0,7,1,0,0,0,11
Honda,0,0,2,1,0,0,0,0,0,0,14,0,1,0,0
Audi,1,1,0,0,0,0,0,0,1,0,0,17,1,0,0
Lexus,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
Tesla,0,0,0,0,3,0,0,0,0,1,0,0,0,18,1
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
