,Unnamed: 0,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
0,BMW,339,19,10,17,8,8,7,3,14,8,10,20,26,20,2
1,Mercedes-Benz,26,276,16,12,9,14,4,4,13,12,9,13,26,17,9
2,Ford,2,8,360,14,11,17,8,20,14,24,11,7,12,15,22
3,Hyundai,0,1,3,314,8,0,0,3,3,0,3,1,1,1,2
4,Kia,1,1,1,38,349,2,2,0,0,0,2,0,2,0,0
5,Ram,0,0,0,0,0,295,0,13,0,0,1,0,0,0,1
6,Subaru,0,0,0,2,1,1,355,1,2,0,0,0,0,0,1
7,Jeep,0,0,0,0,0,2,0,338,0,1,0,0,0,0,1
8,Toyota,5,5,13,19,9,9,19,9,338,10,31,4,45,9,7
9,Chevrolet,1,2,5,2,5,9,0,5,6,267,3,0,4,2,164
10,Honda,1,3,4,14,6,6,8,2,13,5,331,1,8,1,2
11,Audi,10,15,2,3,3,5,2,4,3,5,2,295,10,5,2
12,Lexus,1,1,0,3,2,0,0,0,19,0,2,1,330,0,1
13,Tesla,19,20,10,11,20,9,5,4,13,38,10,8,9,355,17
14,GMC,0,0,2,0,0,1,0,2,0,3,0,0,1,0,197
