,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,59,4,3,4,2,1,3,1,3,1,3,2,5,3,0
Mercedes-Benz,0,55,2,3,1,3,2,0,2,0,2,5,8,3,3
Ford,0,2,64,5,3,3,4,5,2,3,1,1,3,3,6
Hyundai,0,0,0,53,5,0,0,1,1,0,1,0,1,0,0
Kia,0,0,0,14,54,0,0,0,0,0,0,0,0,0,0
Ram,0,1,0,0,0,54,0,1,0,0,1,0,1,0,0
Subaru,0,0,0,0,0,0,67,0,0,0,0,0,1,0,0
Jeep,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0
Toyota,1,0,2,3,3,0,3,2,61,1,3,1,7,1,0
Chevrolet,0,0,0,1,0,1,0,1,1,47,0,1,2,1,27
Honda,0,0,0,2,1,0,1,0,0,1,56,1,2,1,1
Audi,4,2,2,1,2,1,1,0,0,0,1,54,0,0,2
Lexus,0,0,1,1,1,0,0,0,3,0,0,0,59,0,0
Tesla,6,1,3,6,9,1,2,0,4,3,1,1,3,59,7
GMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
