,The car brand Jeep is similar to,The car brand Subaru is similar to,The car brand Dodge is similar to,The car brand Tesla is similar to,The car brand Toyota is similar to,The car brand Honda is similar to,The car brand Nissan is similar to,The car brand Chevrolet is similar to,The car brand Hyundai is similar to,The car brand Mazda is similar to,The car brand Renault is similar to,The car brand Lamborghini is similar to,The car brand Mercedes-Benz is similar to,The car brand BMW is similar to,The car brand Ford is similar to,The car brand Porsche is similar to,The car brand Audi is similar to,The car brand Volkswagen is similar to,The car brand Ferrari is similar to,The car brand Lexus is similar to,The car brand Volvo is similar to
Jeep,23,0,1,0,1,2,0,2,0,3,0,2,0,0,1,0,0,1,2,0,0
Subaru,0,28,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Dodge,1,0,22,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0
Tesla,2,0,2,26,1,1,4,5,2,4,1,3,6,4,2,4,1,4,3,1,3
Toyota,4,7,3,0,23,6,5,4,5,5,2,1,0,2,2,3,0,5,1,4,2
Honda,0,3,0,0,4,24,0,4,1,3,2,3,2,4,0,1,0,2,2,3,1
Nissan,1,0,1,1,2,1,27,1,3,3,5,0,1,0,1,0,0,2,0,1,1
Chevrolet,2,0,2,3,2,2,1,19,0,3,3,1,0,1,2,0,1,0,1,0,0
Hyundai,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,1
Mazda,0,0,0,0,1,1,0,0,1,26,0,0,0,0,0,0,0,1,2,0,0
Renault,0,1,0,0,0,1,1,1,1,0,22,0,1,0,0,0,0,2,0,0,0
Lamborghini,0,0,0,0,0,0,1,1,0,0,1,28,0,0,1,1,0,0,1,0,0
Mercedes-Benz,4,2,1,5,3,5,3,2,1,5,8,4,19,10,6,9,12,6,10,12,7
BMW,2,4,5,5,3,4,6,3,2,4,6,1,9,22,9,7,9,5,4,10,6
Ford,19,8,19,9,8,4,7,18,10,10,6,4,2,6,27,5,3,8,3,7,9
Porsche,0,1,2,2,4,0,2,1,0,0,1,3,1,6,2,25,4,2,4,2,2
Audi,1,1,0,3,0,0,0,1,2,1,4,2,2,3,1,2,24,5,1,2,2
Volkswagen,3,6,3,7,5,5,5,1,7,7,5,4,5,3,6,7,5,19,2,3,2
Ferrari,1,0,0,0,0,1,2,1,2,0,2,11,1,0,0,7,6,1,19,0,0
Lexus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,28,0
Volvo,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,24
