,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,56,0,2,0,0,1,0,3,0,2,1,3,0,0,0,0,0,0,3,0,1
Subaru,0,42,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0
Dodge,5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tesla,0,0,0,58,5,2,10,3,3,2,0,2,2,1,3,1,5,3,0,4,10
Toyota,4,0,1,1,53,11,19,9,19,13,5,1,6,1,2,2,4,3,2,11,8
Honda,2,0,0,0,11,60,7,6,13,5,9,1,0,2,6,2,0,2,2,6,4
Nissan,2,0,0,2,5,4,56,3,3,2,9,0,0,2,2,0,2,0,2,8,3
Chevrolet,4,0,0,1,0,2,6,40,0,0,0,1,0,0,6,0,2,0,0,2,6
Hyundai,0,0,0,0,0,3,0,0,49,1,0,0,1,0,0,0,0,0,0,1,0
Mazda,0,0,1,0,0,0,0,0,3,48,0,0,0,1,1,2,3,0,1,2,0
Renault,0,0,0,0,0,0,1,0,0,0,41,0,0,1,0,0,1,0,0,0,0
Lamborghini,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,1,0,0,0,0,1
Mercedes-Benz,0,0,1,1,2,1,2,3,1,3,22,3,53,11,4,6,10,3,5,8,7
BMW,0,0,0,3,3,3,4,1,4,12,7,5,18,49,2,6,24,6,1,15,12
Ford,8,0,6,3,12,5,6,21,11,12,2,0,3,3,39,12,4,2,1,1,8
Porsche,0,0,2,0,0,0,1,1,0,0,4,3,3,3,5,46,2,2,5,1,1
Audi,0,0,0,0,1,0,0,0,0,0,4,5,5,7,1,5,50,8,1,4,2
Volkswagen,1,0,0,0,5,0,4,4,8,4,1,1,3,4,2,4,10,45,1,0,3
Ferrari,0,0,0,0,1,1,0,1,0,0,17,19,5,2,2,10,0,0,57,1,0
Lexus,0,0,0,0,3,0,0,1,2,0,1,0,0,0,0,1,1,0,1,13,1
Volvo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
