,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,52,0,1,0,1,0,1,4,0,6,0,2,2,0,1,0,0,3,0,0,0
Subaru,1,36,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0
Dodge,4,0,53,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Tesla,0,0,0,58,7,1,7,5,10,3,1,1,3,2,4,1,0,3,0,4,6
Toyota,3,0,0,1,56,16,19,11,24,14,3,0,4,0,0,1,2,7,1,16,12
Honda,2,0,0,2,9,57,6,3,5,5,6,1,0,3,4,0,4,1,3,5,4
Nissan,2,0,0,1,7,6,53,1,1,2,11,0,2,2,0,2,0,0,1,7,3
Chevrolet,2,0,2,0,2,3,4,40,1,2,0,0,1,0,4,0,1,0,0,2,8
Hyundai,0,0,0,0,0,0,0,3,53,1,0,0,0,1,0,0,0,1,0,0,2
Mazda,0,0,0,0,1,1,0,2,1,45,0,0,0,0,1,0,2,0,0,2,0
Renault,0,0,0,0,0,0,0,0,0,0,36,0,2,1,0,2,0,1,2,0,1
Lamborghini,0,0,1,0,0,0,0,0,0,0,2,59,1,0,0,2,0,0,0,1,1
Mercedes-Benz,0,0,0,1,3,2,2,2,6,4,18,5,55,7,0,6,7,1,11,13,1
BMW,2,0,0,1,1,5,2,1,4,11,3,2,10,51,1,13,19,1,1,19,5
Ford,12,0,2,2,17,2,6,27,6,17,1,1,3,1,40,7,3,11,0,4,7
Porsche,0,0,1,0,0,0,0,1,1,1,1,8,0,7,2,44,4,2,2,2,2
Audi,0,0,0,1,0,0,1,0,0,1,4,7,8,4,0,2,47,3,0,3,3
Volkswagen,0,0,0,0,10,1,8,3,2,3,0,0,6,3,3,2,10,41,0,2,3
Ferrari,0,0,2,0,0,0,1,0,1,0,22,16,3,4,3,9,1,0,55,1,1
Lexus,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0
Volvo,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,43
