,The car brand Jeep is similar to,The car brand Subaru is similar to,The car brand Dodge is similar to,The car brand Tesla is similar to,The car brand Toyota is similar to,The car brand Honda is similar to,The car brand Nissan is similar to,The car brand Chevrolet is similar to,The car brand Hyundai is similar to,The car brand Mazda is similar to,The car brand Renault is similar to,The car brand Lamborghini is similar to,The car brand Mercedes-Benz is similar to,The car brand BMW is similar to,The car brand Ford is similar to,The car brand Porsche is similar to,The car brand Audi is similar to,The car brand Volkswagen is similar to,The car brand Ferrari is similar to,The car brand Lexus is similar to,The car brand Volvo is similar to
Jeep,24,0,1,0,1,0,0,1,2,1,1,0,0,1,3,0,0,1,1,0,1
Subaru,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dodge,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tesla,2,0,1,25,0,1,6,6,5,3,1,3,2,5,1,4,2,3,0,4,3
Toyota,6,9,1,3,23,10,7,4,7,7,1,0,1,2,5,2,2,4,3,6,1
Honda,1,4,0,4,2,25,2,2,2,0,1,1,0,2,5,1,1,2,2,4,0
Nissan,2,1,2,1,3,0,27,1,6,1,3,0,1,0,0,0,1,2,2,2,1
Chevrolet,2,0,2,0,2,1,4,16,2,0,1,1,0,0,0,1,0,1,1,0,2
Hyundai,1,1,1,1,1,0,3,0,20,0,0,0,0,0,2,0,0,1,0,0,2
Mazda,0,4,0,0,1,1,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0
Renault,0,0,0,0,1,0,0,0,0,0,20,0,1,0,0,0,0,0,1,0,1
Lamborghini,0,0,0,0,1,0,0,0,1,0,1,29,0,0,0,0,1,0,1,0,0
Mercedes-Benz,2,1,4,7,4,7,3,2,7,3,10,5,25,9,5,4,7,9,13,9,5
BMW,5,6,3,10,5,6,4,2,7,7,7,6,13,25,3,8,9,7,12,9,6
Ford,16,7,17,10,12,4,6,17,11,10,1,1,1,3,27,7,2,8,2,6,16
Porsche,0,2,2,0,3,2,0,1,2,1,1,4,2,0,0,27,6,5,6,0,1
Audi,3,1,2,2,2,0,2,0,3,2,6,3,3,3,1,0,24,5,2,3,1
Volkswagen,2,9,2,4,3,5,6,2,7,5,7,0,7,6,7,1,6,17,1,2,2
Ferrari,0,0,1,0,3,0,1,1,3,1,4,17,1,0,1,4,2,1,24,1,2
Lexus,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,3,0,25,0
Volvo,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,22
