,Unnamed: 0,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
0,Jeep,606,0,13,1,10,3,7,33,8,25,1,4,7,3,8,12,19,18,9,1,3
1,Subaru,0,417,0,1,2,1,6,2,0,5,0,1,1,0,0,1,1,2,0,9,3
2,Dodge,33,0,616,0,1,1,1,15,0,2,1,1,2,2,4,1,1,2,0,1,1
3,Tesla,7,0,1,638,64,15,84,71,62,20,2,14,26,17,25,21,29,22,6,25,95
4,Toyota,31,0,4,13,581,168,199,105,218,161,29,8,51,26,44,21,56,76,5,114,50
5,Honda,16,1,3,10,99,644,72,46,74,93,88,23,19,25,31,12,51,16,12,61,44
6,Nissan,13,0,0,11,56,46,611,32,23,21,92,5,10,8,19,7,20,7,3,47,20
7,Chevrolet,56,0,14,13,35,13,21,485,11,18,1,7,6,7,26,8,14,21,1,10,34
8,Hyundai,11,0,1,2,13,10,9,12,553,21,2,1,2,2,1,2,2,5,0,4,7
9,Mazda,0,0,5,1,13,15,9,9,6,549,2,1,0,2,18,4,7,7,1,18,3
10,Renault,0,0,0,1,3,1,12,0,1,2,452,1,4,1,0,0,2,6,14,5,10
11,Lamborghini,0,0,0,0,0,0,1,2,0,1,12,651,3,0,4,12,4,1,8,1,0
12,Mercedes-Benz,4,0,4,11,16,25,30,22,18,34,186,63,604,91,25,46,69,28,102,126,38
13,BMW,8,0,3,8,26,79,86,20,35,102,61,56,150,606,13,124,189,36,35,231,99
14,Ford,90,1,23,17,212,57,68,290,141,152,18,8,27,17,442,61,60,75,5,29,96
15,Porsche,5,0,6,0,6,4,12,4,2,12,23,53,25,34,23,557,23,29,22,29,9
16,Audi,3,0,1,2,10,5,11,5,9,12,34,40,57,38,6,59,516,76,10,45,21
17,Volkswagen,4,0,1,3,74,16,65,26,55,53,8,2,40,14,13,74,133,514,1,16,34
18,Ferrari,0,0,1,0,1,4,13,2,5,3,258,205,24,10,34,127,12,2,634,12,1
19,Lexus,1,0,1,1,20,4,7,8,2,3,0,0,5,3,1,0,3,6,0,225,0
20,Volvo,2,0,0,3,1,1,2,0,2,3,1,0,2,2,0,0,2,4,0,3,510
