,Unnamed: 0,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
0,Jeep,802,0,15,4,23,3,7,48,14,34,4,6,7,5,13,6,10,14,15,3,6
1,Subaru,3,606,1,0,7,1,9,1,3,14,2,1,1,0,2,3,4,2,0,13,0
2,Dodge,49,0,783,0,1,0,0,12,0,4,0,0,2,2,6,1,0,1,0,1,1
3,Tesla,7,0,1,861,88,27,110,74,77,38,3,15,41,33,36,23,42,39,3,31,146
4,Toyota,49,3,4,30,776,243,247,117,342,219,30,2,82,30,45,24,57,89,7,157,91
5,Honda,29,1,10,5,148,854,88,59,102,143,124,29,20,37,59,16,54,18,32,76,65
6,Nissan,8,1,2,10,83,50,787,37,32,37,104,6,14,15,28,13,16,11,8,74,40
7,Chevrolet,75,0,11,3,45,18,37,654,19,26,5,5,12,6,35,11,14,15,4,22,59
8,Hyundai,13,0,4,1,12,11,26,16,770,13,3,0,5,2,6,2,4,8,0,3,14
9,Mazda,1,1,1,0,10,20,13,18,11,712,1,2,3,5,14,4,11,7,1,38,5
10,Renault,1,0,0,0,5,1,15,1,1,0,591,1,4,7,1,5,8,7,16,9,16
11,Lamborghini,0,0,4,0,0,0,1,0,0,0,8,864,8,3,1,22,3,1,18,4,1
12,Mercedes-Benz,13,1,6,18,30,25,33,23,18,31,243,74,766,136,29,82,115,24,113,141,59
13,BMW,15,0,4,12,39,100,102,27,45,134,71,80,173,802,40,197,274,31,41,274,144
14,Ford,119,1,34,29,253,75,85,389,158,198,16,13,51,24,585,75,47,103,10,41,121
15,Porsche,10,0,10,1,1,6,23,7,3,16,33,79,30,42,24,714,27,50,26,47,13
16,Audi,2,0,0,4,9,3,21,1,10,12,39,64,66,47,13,82,694,96,9,63,27
17,Volkswagen,13,0,0,4,109,15,82,37,86,77,5,4,80,28,26,76,186,710,6,17,33
18,Ferrari,0,0,9,0,5,5,10,3,3,1,340,272,59,16,27,186,17,9,832,16,4
19,Lexus,3,1,4,0,24,4,6,7,6,5,1,1,3,5,3,4,2,1,0,315,4
20,Volvo,2,0,0,1,1,2,5,1,11,0,0,2,3,2,1,4,5,5,1,0,651
