,Unnamed: 0,The car brand Jeep is similar to,The car brand Subaru is similar to,The car brand Dodge is similar to,The car brand Tesla is similar to,The car brand Toyota is similar to,The car brand Honda is similar to,The car brand Nissan is similar to,The car brand Chevrolet is similar to,The car brand Hyundai is similar to,The car brand Mazda is similar to,The car brand Renault is similar to,The car brand Lamborghini is similar to,The car brand Mercedes-Benz is similar to,The car brand BMW is similar to,The car brand Ford is similar to,The car brand Porsche is similar to,The car brand Audi is similar to,The car brand Volkswagen is similar to,The car brand Ferrari is similar to,The car brand Lexus is similar to,The car brand Volvo is similar to
0,Jeep,235,0,21,2,9,8,2,6,5,5,3,4,5,6,15,2,4,12,21,3,4
1,Subaru,4,281,2,0,1,3,6,0,2,5,2,1,3,0,2,1,0,3,0,3,5
2,Dodge,8,1,233,0,4,1,0,2,0,1,0,0,1,0,2,0,2,1,1,1,0
3,Tesla,13,12,7,262,20,8,38,48,24,22,18,22,44,29,28,24,25,25,12,28,36
4,Toyota,52,65,27,20,243,78,66,37,62,50,27,4,23,25,43,11,16,26,15,65,18
5,Honda,12,34,15,10,35,258,22,8,23,25,20,5,7,9,16,4,6,7,11,28,9
6,Nissan,11,20,16,13,27,20,260,11,29,11,48,3,10,5,15,5,5,7,7,15,6
7,Chevrolet,16,2,24,6,10,7,8,181,7,6,9,2,4,6,15,4,5,12,5,8,13
8,Hyundai,3,9,8,3,7,7,10,3,230,6,3,0,2,1,10,1,1,7,1,6,7
9,Mazda,2,9,2,0,5,18,1,4,5,246,2,1,3,1,7,0,1,2,1,2,0
10,Renault,0,1,0,0,1,5,7,1,4,1,230,1,2,3,3,1,4,2,6,0,2
11,Lamborghini,1,0,1,2,4,2,1,0,1,1,8,277,2,2,1,5,6,2,11,1,0
12,Mercedes-Benz,17,24,31,50,37,58,46,25,38,27,76,54,201,111,44,48,98,58,107,80,66
13,BMW,21,69,64,81,51,50,56,15,41,33,56,25,80,244,71,63,119,57,76,77,72
14,Ford,204,68,155,84,94,56,54,174,111,128,35,19,40,45,264,65,24,68,24,65,108
15,Porsche,4,7,14,17,19,8,11,14,11,14,28,37,23,21,17,264,46,45,42,15,13
16,Audi,10,9,9,11,7,12,12,8,15,10,41,19,24,22,8,30,245,61,23,32,15
17,Volkswagen,15,64,21,30,44,47,55,28,70,46,46,9,41,34,52,37,49,179,29,23,22
18,Ferrari,8,9,6,6,8,10,16,3,21,4,51,179,27,12,8,51,22,16,227,16,6
19,Lexus,2,2,2,1,9,6,2,4,4,1,0,3,1,1,3,0,2,3,1,263,0
20,Volvo,2,1,2,1,0,0,4,2,3,1,4,1,2,1,9,3,7,2,0,3,220
