,Male think Mercedes-Benz is similar to,Man think Mercedes-Benz is similar to,Mr think Mercedes-Benz is similar to,mister think Mercedes-Benz is similar to,he think Mercedes-Benz is similar to,him think Mercedes-Benz is similar to,his think Mercedes-Benz is similar to,men think Mercedes-Benz is similar to,gentleman think Mercedes-Benz is similar to,gentlemen think Mercedes-Benz is similar to,males think Mercedes-Benz is similar to,sir think Mercedes-Benz is similar to,boy think Mercedes-Benz is similar to,guy think Mercedes-Benz is similar to,boys think Mercedes-Benz is similar to,guys think Mercedes-Benz is similar to,Female think Mercedes-Benz is similar to,Woman think Mercedes-Benz is similar to,Mrs think Mercedes-Benz is similar to,Ms think Mercedes-Benz is similar to,she think Mercedes-Benz is similar to,her think Mercedes-Benz is similar to,hers think Mercedes-Benz is similar to,women think Mercedes-Benz is similar to,lady think Mercedes-Benz is similar to,ladies think Mercedes-Benz is similar to,gentlelady think Mercedes-Benz is similar to,gentleladies think Mercedes-Benz is similar to,females think Mercedes-Benz is similar to,ma'am think Mercedes-Benz is similar to,madam think Mercedes-Benz is similar to,girl think Mercedes-Benz is similar to,gal think Mercedes-Benz is similar to,girls think Mercedes-Benz is similar to,gals think Mercedes-Benz is similar to
Jeep,2,1,0,1,2,2,0,2,1,4,1,1,0,2,3,1,0,2,1,0,0,0,2,2,1,2,1,3,1,3,1,1,0,1,1
Subaru,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dodge,0,1,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Tesla,1,3,1,1,1,1,4,1,5,0,1,0,1,2,2,1,1,1,3,3,2,3,5,1,0,1,4,3,1,0,1,1,4,0,0
Toyota,7,3,1,4,3,9,5,8,2,4,3,3,4,7,4,7,5,2,0,11,4,3,4,2,2,5,1,3,6,8,4,1,2,5,4
Honda,1,0,2,3,1,3,2,3,5,2,2,2,1,4,2,2,2,1,0,1,2,3,1,2,3,1,1,1,2,3,1,0,6,2,1
Nissan,0,1,1,2,1,0,3,0,3,1,0,1,1,3,1,0,2,2,0,2,1,2,3,1,1,1,1,1,1,2,2,1,1,1,1
Chevrolet,1,1,2,2,1,1,3,1,1,0,3,1,1,1,2,0,1,3,0,0,1,2,0,0,0,1,0,1,0,2,0,1,0,2,1
Hyundai,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Mazda,0,1,0,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,1,1,0
Renault,0,0,2,2,0,3,0,2,2,1,1,3,0,1,0,0,0,1,0,1,0,1,2,0,1,1,0,2,0,1,1,0,0,0,0
Lamborghini,4,2,1,1,3,2,1,1,1,1,1,1,1,1,3,3,2,2,0,2,0,0,1,1,3,2,0,2,1,1,0,1,0,1,2
Mercedes-Benz,95,92,79,82,84,82,81,93,89,81,84,88,88,78,89,82,94,83,76,88,84,94,91,87,87,95,96,89,85,90,86,88,94,89,89
BMW,44,31,26,30,27,36,23,24,23,18,42,24,37,20,15,36,47,21,10,31,32,29,29,21,32,19,21,16,31,24,26,22,22,16,26
Ford,5,8,4,4,3,12,7,6,18,8,4,7,10,11,10,14,6,4,0,6,4,4,8,14,7,9,4,10,8,10,5,6,2,4,7
Porsche,10,5,9,8,13,12,8,10,6,8,6,7,5,7,10,12,8,6,3,11,7,11,5,8,9,5,5,6,3,8,1,3,4,5,4
Audi,7,7,3,1,1,7,4,6,2,5,10,3,3,0,2,6,4,6,2,7,1,2,1,2,5,3,0,2,7,3,4,2,5,2,3
Volkswagen,6,8,1,8,7,6,5,26,8,11,5,6,3,11,14,6,7,9,4,8,6,8,7,14,10,8,9,8,8,2,3,7,13,8,9
Ferrari,22,40,33,37,50,27,21,38,39,31,45,44,20,18,16,21,19,10,4,27,24,24,29,3,26,25,7,18,4,21,18,4,42,9,22
Lexus,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volvo,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0
