,Male think Mercedes-Benz is similar to,Man think Mercedes-Benz is similar to,Mr think Mercedes-Benz is similar to,mister think Mercedes-Benz is similar to,he think Mercedes-Benz is similar to,him think Mercedes-Benz is similar to,his think Mercedes-Benz is similar to,men think Mercedes-Benz is similar to,gentleman think Mercedes-Benz is similar to,gentlemen think Mercedes-Benz is similar to,males think Mercedes-Benz is similar to,sir think Mercedes-Benz is similar to,boy think Mercedes-Benz is similar to,guy think Mercedes-Benz is similar to,boys think Mercedes-Benz is similar to,guys think Mercedes-Benz is similar to,Female think Mercedes-Benz is similar to,Woman think Mercedes-Benz is similar to,Mrs think Mercedes-Benz is similar to,Ms think Mercedes-Benz is similar to,she think Mercedes-Benz is similar to,her think Mercedes-Benz is similar to,hers think Mercedes-Benz is similar to,women think Mercedes-Benz is similar to,lady think Mercedes-Benz is similar to,ladies think Mercedes-Benz is similar to,gentlelady think Mercedes-Benz is similar to,gentleladies think Mercedes-Benz is similar to,females think Mercedes-Benz is similar to,ma'am think Mercedes-Benz is similar to,madam think Mercedes-Benz is similar to,girl think Mercedes-Benz is similar to,gal think Mercedes-Benz is similar to,girls think Mercedes-Benz is similar to,gals think Mercedes-Benz is similar to
Jeep,10,12,9,13,12,10,8,8,18,22,6,6,12,19,16,15,8,23,9,3,10,9,16,15,8,5,13,15,1,14,13,25,8,21,13
Subaru,2,0,3,1,1,2,0,0,0,2,0,0,3,5,2,2,0,2,0,2,1,2,0,2,0,1,1,1,0,3,1,0,0,0,1
Dodge,3,2,1,3,0,2,2,1,1,2,2,1,9,5,8,6,0,0,1,1,3,4,3,4,1,1,3,1,0,5,1,6,2,11,3
Tesla,16,15,15,12,8,8,20,18,15,12,5,17,9,14,15,10,11,12,8,28,11,17,31,14,9,8,7,12,7,11,16,15,25,2,9
Toyota,30,53,32,25,38,44,26,39,56,38,34,49,46,33,22,68,38,30,16,62,22,44,49,46,37,41,31,17,41,55,29,34,38,33,28
Honda,22,20,16,21,26,25,16,19,33,17,20,28,30,26,16,20,11,24,6,21,23,27,26,23,17,29,15,17,10,31,19,13,17,14,18
Nissan,11,13,7,10,12,4,8,10,7,7,14,11,15,8,8,8,11,10,3,21,7,11,9,13,7,7,13,9,6,11,8,7,8,11,5
Chevrolet,7,10,3,8,3,15,5,11,13,12,7,7,19,17,20,18,5,13,5,6,9,10,16,18,4,7,12,13,6,18,10,19,7,17,14
Hyundai,5,3,0,2,3,2,2,2,3,7,3,5,3,3,4,4,3,2,1,6,1,2,4,1,1,2,5,3,3,7,3,3,0,1,5
Mazda,8,8,9,10,4,3,8,4,2,4,8,2,7,8,4,6,6,3,3,6,4,9,2,7,5,4,3,4,3,6,6,3,3,4,3
Renault,3,8,13,18,15,5,2,15,9,5,10,19,3,3,5,4,5,1,4,10,8,10,12,0,5,8,3,10,3,5,9,1,12,2,6
Lamborghini,15,15,17,11,18,27,16,13,8,9,9,7,14,21,10,15,12,5,11,14,12,14,7,9,13,7,9,12,12,13,19,6,12,9,12
Mercedes-Benz,912,925,799,857,821,861,788,903,884,869,865,887,837,878,846,886,934,856,788,926,874,854,867,882,899,942,884,926,885,882,880,816,885,838,877
BMW,441,313,242,229,203,286,270,235,150,173,356,208,295,413,201,428,435,233,169,247,269,293,263,341,274,208,199,203,406,208,227,142,208,133,270
Ford,35,74,58,55,47,108,39,71,112,141,50,56,112,78,100,103,57,74,28,72,57,71,92,114,78,55,108,78,64,72,52,94,53,81,56
Porsche,87,84,69,73,50,76,84,69,83,61,69,48,67,93,52,102,90,55,43,71,77,90,72,75,75,49,43,49,59,55,53,30,54,31,64
Audi,62,40,42,35,19,38,48,45,24,28,49,33,32,33,34,49,52,34,14,64,33,34,40,41,35,28,24,28,37,18,33,15,53,30,31
Volkswagen,96,51,64,59,34,45,48,111,76,117,53,42,80,47,107,85,83,90,40,111,58,88,119,132,81,62,98,83,70,32,35,86,90,72,110
Ferrari,193,353,274,305,527,333,181,454,432,316,455,476,215,149,145,226,177,79,29,244,191,235,248,85,234,254,91,224,81,173,223,32,328,32,269
Lexus,13,5,6,5,3,4,4,3,1,5,4,6,8,10,5,12,8,8,4,5,4,4,3,13,4,4,2,4,4,1,3,6,5,7,6
Volvo,5,3,6,0,2,3,3,3,1,3,5,2,4,3,2,3,2,4,2,4,0,3,2,3,4,2,2,1,4,5,0,1,2,2,1
